Year,Species,FileID,CardID,FishID,Sex,Age,ErrorCode,Length,Weight,SampleDate,District,Subdistrict,Stream,Location,Project,Gear,Mesh,NumberofScales,SampleComment,MeasurementType,ImageName,ImageSaved,UserID,DateScanned,DigitizedUserID,DigitizedDate,Comment,ASLComment
1965,420,65COMWO001,001,01,1,13,0,591,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513M001,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO001,001,04,2,13,0,536,,05-Jul-65,325,30,300,101,03,02,,9,,02,,N,,,,,,
1965,420,65COMWO001,001,05,2,13,0,538,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513F001,Y,,,JCLIVERMORE,26-Jun-12,,
1965,420,65COMWO001,001,09,2,13,0,557,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513F002,Y,,,WWHELAN,30-Jul-03,,
1965,420,65COMWO001,001,12,2,13,0,531,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513F003,Y,,,JCLIVERMORE,26-Jun-12,,
1965,420,65COMWO001,001,14,2,13,0,527,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513F004,Y,,,JCLIVERMORE,26-Jun-12,,
1965,420,65COMWO001,001,19,2,13,0,518,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6513F005,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO001,001,23,1,23,0,577,,05-Jul-65,325,30,300,101,03,02,,9,,02,WO6523M001,Y,,,WWHELAN,05-Aug-03,,
1965,420,65COMWO001,001,29,2,12,0,491,,05-Jul-65,325,30,300,101,03,02,,9,,02,,N,,,,,,
1965,420,65COMWO003,003,22,1,23,0,591,,05-Jul-65,325,30,300,101,03,02,,2,,02,WO6523M002,Y,,,JEBAKER,07-Nov-18,,
1965,420,65COMWO003,003,23,2,22,0,514,,05-Jul-65,325,30,300,101,03,02,,2,,02,WO6522F001,Y,,,JCLIVERMORE,29-Oct-12,,
1965,420,65COMWO004,004,16,2,23,0,528,,05-Jul-65,325,30,300,101,03,02,,2,,02,WO6523F001,Y,,,JEBAKER,15-Dec-17,,
1965,420,65COMWO004,004,17,1,22,0,523,,05-Jul-65,325,30,300,101,03,02,,2,,02,WO6522M001,Y,,,JEBAKER,15-Dec-17,,
1965,420,65COMWO005,005,12,1,22,0,497,,05-Jul-65,325,30,300,101,03,02,,4,,02,WO6522M002,Y,,,JEBAKER,16-Mar-18,,
1965,420,65COMWO005,005,13,2,22,0,482,,05-Jul-65,325,30,300,101,03,02,,4,,02,WO6522F002,Y,,,JEBAKER,23-Apr-18,,
1965,420,65COMWO005,005,16,2,22,0,455,,05-Jul-65,325,30,300,101,03,02,,4,,02,WO6522F003,Y,,,WWHELAN,04-Aug-03,,
1965,420,65COMWO005,005,22,2,23,0,541,,05-Jul-65,325,30,300,101,03,02,,4,,02,WO6523F002,Y,,,WWHELAN,04-Aug-03,,
1965,420,65COMWO006,006,03,2,23,0,541,,05-Jul-65,325,30,300,101,03,02,,7,,02,WO6523F003,Y,,,,,,
1965,420,65COMWO006,006,05,2,12,0,485,,05-Jul-65,325,30,300,101,03,02,,7,,02,WO6512F001,Y,,,JEBAKER,06-Nov-18,,
