"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",45932,"5AA",1279.3,22.06,-0.814,-0.814,"ALA",-1.07176363636438
"2",45932,"5AA",1400.7,14.356,-0.992,-0.992,"VAL",0.119067613635792
"3",45932,"5AA",1537.4,25.09,14.639,14.639,"NOR",14.0804897727276
"4",45932,"5AA",2071.6,13.095,-3.739,-3.739,"GLU",-3.7598045454567
"5",45932,"5AA",2187.4,12.053,-5.003,-5.003,"PHE",-5.10546903409289
"6",45933,"5AA",1278.2,21.27,-1.006,-1.006,"ALA",-1.29538181818258
"7",45933,"5AA",1399.9,14.142,-0.601,-0.601,"VAL",0.479205681817584
"8",45933,"5AA",1536.6,25.516,14.586,14.586,"NOR",14.035338636364
"9",45933,"5AA",2071.2,13.494,-3.11,-3.11,"GLU",-3.21602727272929
"10",45933,"5AA",2186.8,12.441,-4.665,-4.665,"PHE",-4.85591420454752
"11",45934,"5AA",1278.5,20.223,-1.004,-1.004,"ALA",-1.32500000000079
"12",45934,"5AA",1400.1,13.37,-0.616,-0.616,"VAL",0.433343749999376
"13",45934,"5AA",1537,23.997,14.692,14.692,"NOR",14.1491875000002
"14",45934,"5AA",2071.6,12.958,-2.953,-2.953,"GLU",-3.14425000000189
"15",45934,"5AA",2187.2,11.675,-4.964,-4.964,"PHE",-5.24335937500215
"16",45935,"13_E_2",1271.8,4.933,20.959,20.959,"ALA",20.606381818181
"17",45935,"13_E_2",1395.1,3.25,21.224,21.224,"VAL",22.2424818181814
"18",45935,"13_E_2",1525.1,3.641,13.208,13.208,"NOR",12.6730363636366
"19",45935,"13_E_2",2056.4,4.134,20.041,20.041,"GLU",19.7645272727255
"20",45935,"13_E_2",2174,2.177,2.556,2.556,"PHE",2.18819545454367
"21",45936,"13_E_2",1272.4,4.24,20.762,20.762,"ALA",20.377763636363
"22",45936,"13_E_2",1395.9,2.45,22.701,22.701,"VAL",23.6886198863632
"23",45936,"13_E_2",1525.9,3.229,14.177,14.177,"NOR",13.649885227273
"24",45936,"13_E_2",2056.8,3.739,19.766,19.766,"GLU",19.4043045454525
"25",45936,"13_E_2",2174.6,1.978,1.903,1.903,"PHE",1.44675028408903
"26",45937,"13_E_2",1270.7,4.161,19.995,19.995,"ALA",19.5791454545448
"27",45937,"13_E_2",1394.2,3.288,18.826,18.826,"VAL",19.782757954545
"28",45937,"13_E_2",1524.4,3.661,14.982,14.982,"NOR",14.4627340909093
"29",45937,"13_E_2",2064.7,3.717,19.364,19.364,"GLU",18.9170818181799
"30",45937,"13_E_2",2178,1.809,1.647,1.647,"PHE",1.1023051136344
"31",45938,"13_E_3",1276.4,11.041,21.496,21.496,"ALA",21.0485272727266
"32",45938,"13_E_3",1399,8.514,18.402,18.402,"VAL",19.3278960227268
"33",45938,"13_E_3",1526.1,3.55,15.124,15.124,"NOR",14.6125829545457
"34",45938,"13_E_3",2069.3,9.493,21.67,21.67,"GLU",21.1378590909073
"35",45938,"13_E_3",2178,2.922,2.693,2.693,"PHE",2.05985994318022
"36",45939,"13_E_3",1276.6,10.677,22.575,22.575,"ALA",22.0959090909084
"37",45939,"13_E_3",1399.5,8.536,18.332,18.332,"VAL",19.2270340909086
"38",45939,"13_E_3",1526.3,3.529,15.669,15.669,"NOR",15.165431818182
"39",45939,"13_E_3",2069.7,9.371,22.441,22.441,"GLU",21.8236363636347
"40",45939,"13_E_3",2178.2,2.804,4.538,4.538,"PHE",3.81641477272559
"41",45940,"13_E_3",1276.8,10.374,22.702,22.702,"ALA",22.1912909090905
"42",45940,"13_E_3",1399.5,8.32,17.879,17.879,"VAL",18.7431721590904
"43",45940,"13_E_3",1526.5,3.527,16.375,16.375,"NOR",15.8792806818184
"44",45940,"13_E_3",2069.9,9.08,22.165,22.165,"GLU",21.4624136363621
"45",45940,"13_E_3",2178.4,2.716,4.989,4.989,"PHE",4.17896960227095
"46",45941,"5AA",1281,16.07,-0.557,-0.557,"ALA",-1.09932727272775
"47",45941,"5AA",1402.4,10.141,-0.313,-0.313,"VAL",0.520310227272146
"48",45941,"5AA",1539.3,18.748,15.02,15.02,"NOR",14.5321295454547
"49",45941,"5AA",2074.7,10.463,-2.395,-2.395,"GLU",-3.18280909091096
"50",45941,"5AA",2189.9,8.824,-3.903,-3.903,"PHE",-4.80147556818322
"51",45948,"5AA",1321.9,13.274,-0.567,-0.567,"ALA",-1.33065454545472
"52",45948,"5AA",1443.4,8.73,-0.402,-0.402,"VAL",0.215276704544916
"53",45948,"5AA",1578.4,13.685,14.618,14.618,"NOR",14.1850715909092
"54",45948,"5AA",2132.2,9.071,-1.84,-1.84,"GLU",-3.22436818181957
"55",45948,"5AA",2236.3,8.33,-3.252,-3.252,"PHE",-4.76959176136475
"56",45952,"5AA",1351,13.742,-0.055,-0.055,"ALA",-0.945127272727304
"57",45952,"5AA",1472.2,8.915,0.026,0.026,"VAL",0.519828977272311
"58",45952,"5AA",1605.1,14.525,14.573,14.573,"NOR",14.1714670454546
"59",45952,"5AA",2165.9,9.485,-1.15,-1.15,"GLU",-2.8752590909104
"60",45952,"5AA",2265.1,8.388,-3.018,-3.018,"PHE",-4.88937244318283
"61",45953,"5AA",1363.5,14.267,-0.481,-0.481,"ALA",-1.40274545454551
"62",45953,"5AA",1484.3,9.31,-0.223,-0.223,"VAL",0.239967045454103
"63",45953,"5AA",1617.5,15.302,14.381,14.381,"NOR",13.9873159090909
"64",45953,"5AA",2180.1,9.977,-2.139,-2.139,"GLU",-3.94948181818299
"65",45953,"5AA",2277.5,9.839,-3.403,-3.403,"PHE",-5.36281761363701
