"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",47254,"5AA",1408.2,21.541,-0.515,-0.515,"ALA",-0.94515,-1.38739147727342
"2",47254,"5AA",1545.8,14.339,-0.747,-0.747,"VAL",-1.17715,0.415855397726425
"3",47254,"5AA",1692.7,24.173,14.964,14.964,"NOR",14.53385,13.8289428977275
"4",47254,"5AA",2280.4,22.004,-1.194,-1.194,"GLU",-1.62415,-2.17379289772737
"5",47254,"5AA",2383.2,21.986,-4.73,-4.73,"PHE",-5.16015,-5.36410170454513
"6",47255,"5AA",1407.8,21.348,-0.717,-0.717,"ALA",-1.14715,-1.44514886363704
"7",47255,"5AA",1545.6,13.782,-1.094,-1.094,"VAL",-1.52415,0.21323238636282
"8",47255,"5AA",1692.5,22.832,14.972,14.972,"NOR",14.54185,13.9725573863633
"9",47255,"5AA",2279.6,17.983,-3.232,-3.232,"GLU",-3.66215,-4.05385738636379
"10",47255,"5AA",2382.4,18.412,-4.421,-4.421,"PHE",-4.85115,-4.94541022727267
"11",47256,"5AA",1408.7,22.272,-0.515,-0.515,"ALA",-0.94515,-1.09890625000066
"12",47256,"5AA",1546.4,14.537,-0.928,-0.928,"VAL",-1.35815,0.523609374999215
"13",47256,"5AA",1693.5,24.251,15.256,15.256,"NOR",14.82585,14.3921718750001
"14",47256,"5AA",2280.8,19.474,-3.166,-3.166,"GLU",-3.59615,-3.82992187500022
"15",47256,"5AA",2383.4,19.458,-4.37,-4.37,"PHE",-4.80015,-4.7847187500002
"16",47257,"74_E_2",1409.1,21.063,25.6,25.6,"ALA",25.16985,25.1603363636357
"17",47257,"74_E_2",1548.3,10.026,20.061,20.061,"VAL",19.63085,21.6569863636356
"18",47257,"74_E_2",1685.4,7.679,13.629,13.629,"NOR",13.19885,12.9007863636359
"19",47257,"74_E_2",2286.5,32.604,23.88,23.88,"GLU",23.44985,23.3740136363634
"20",47257,"74_E_2",2378.2,8.216,3.842,3.842,"PHE",3.41185,3.53697272727226
"21",47258,"74_E_2",1408.9,20.637,25.469,25.469,"ALA",25.03885,25.1735789772721
"22",47258,"74_E_2",1548.1,9.724,20.155,20.155,"VAL",19.72485,21.895363352272
"23",47258,"74_E_2",1685.4,8.959,14.957,14.957,"NOR",14.52685,14.3644008522727
"24",47258,"74_E_2",2286.5,31.079,23.719,23.719,"GLU",23.28885,23.3709491477269
"25",47258,"74_E_2",2378.2,7.786,2.853,2.853,"PHE",2.42285,2.65766420454563
"26",47259,"74_E_2",1408,20.436,25.365,25.365,"ALA",24.93485,25.2138215909085
"27",47259,"74_E_2",1547,10.423,19.455,19.455,"VAL",19.02485,21.3397403409084
"28",47259,"74_E_2",1684.3,7.494,15.003,15.003,"NOR",14.57285,14.5460153409085
"29",47259,"74_E_2",2285.2,31.013,23.746,23.746,"GLU",23.31585,23.5558846590905
"30",47259,"74_E_2",2377.2,7.62,2.641,2.641,"PHE",2.21085,2.5553556818181
"31",47260,"89_W_2_R",1405.1,12.83,22.046,22.046,"ALA",21.61585,22.0390642045449
"32",47260,"89_W_2_R",1544.7,9.474,21.474,21.474,"VAL",21.04385,23.5031173295448
"33",47260,"89_W_2_R",1683.7,7.203,14.423,14.423,"NOR",13.99285,14.1016298295452
"34",47260,"89_W_2_R",2274.3,10.885,21.561,21.561,"GLU",21.13085,21.5288201704541
"35",47260,"89_W_2_R",2374.9,4.802,2.177,2.177,"PHE",1.74685,2.20104715909056
"36",47262,"89_W_2_R",1404.5,11.72,21.499,21.499,"ALA",21.06885,21.7805494318176
