Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,47480,03/28/24,CONDITIONER,A11,DUMMY,0.391,N2,1,1,34.9,26.1,20.0,929,16999,16.999,12.7,610,11175,0.123,0.6573949,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,47480,03/28/24,CONDITIONER,A11,DUMMY,0.391,N2,2,0,216.3,82.1,24.5,1659,38519,38.519,15.7,1086,25194,0.277,0.6540672,0.0073192,-5.062,-5.062,0.0036596,-5.062,,,,,,,,,,,,,,,,,,,,,,,,
1,47480,03/28/24,CONDITIONER,A11,DUMMY,0.391,CO2,3,0,373.7,94.5,,,,,,,,,,,,,,,0.3,3116,80546,80.546,-0.2,3222,83111,0.914,1.4,4487,0.348,116066,1.0318422,0.0119513,-2.803,-2.803,1.4409919,0.0040169,-0.654,-0.654,0.0111469,-2.981,0.0020039,-0.648
1,47480,03/28/24,CONDITIONER,A11,DUMMY,0.391,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,1.8,4024,73831,73.831,1.3,4163,76396,0.84,3.4,5801,0.319,106460,1.0347428,0.0119849,0,0,1.441935,0.0040196,0,0,0.0111802,0,0.0020052,0
2,47481,03/28/24,BLANK,A12,BLANK,0,N2,1,1,47.4,26.1,20.8,925,17033,17.033,13.4,608,11200,0.123,0.6575539,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,47481,03/28/24,BLANK,A12,BLANK,0,CO2,2,1,525.2,38.7,,,,,,,,,,,,,,,0.6,4020,74527,74.527,0.1,4127,76546,0.842,1.6,5801,0.323,107574,1.0271008,0.0119849,0,0,1.4434319,0.0040196,0,0,0.0111802,0,0.0020052,0
3,47482,03/28/24,GA1_QTY_1,B1,QTY,0.289,N2,1,1,47.4,26.1,20.6,922,16980,16.98,13.1,606,11155,0.123,0.6569576,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,47482,03/28/24,GA1_QTY_1,B1,QTY,0.289,N2,2,0,216.1,79,24.9,1240,28436,28.436,15.9,811,18596,0.205,0.6539776,0.007323,-4.536,-4.536,0.0036615,-4.536,,,,,,,,,,,,,,,,,,,,,,,,
3,47482,03/28/24,GA1_QTY_1,B1,QTY,0.289,CO2,3,0,374.7,91.3,,,,,,,,,,,,,,,0.6,2349,59932,59.932,0.1,2375,60499,0.665,1.7,3383,0.259,86407,1.0094545,0.0117973,-15.65,-15.65,1.4417398,0.0040145,-1.256,-1.256,0.0109931,-16.731,0.0020028,-1.22
3,47482,03/28/24,GA1_QTY_1,B1,QTY,0.289,CO2,4,1,525.4,37.6,,,,,,,,,,,,,,,1.6,4024,74588,74.588,1.1,4125,76490,0.841,3.1,5806,0.323,107671,1.0255039,0.0119849,0,0,1.4435533,0.0040196,0,0,0.0111802,0,0.0020052,0
4,47483,03/28/24,GA1_QTY_2,B2,QTY,0.458,N2,1,1,47.4,26.1,20.9,922,16992,16.992,13.3,605,11162,0.123,0.6568656,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,47483,03/28/24,GA1_QTY_2,B2,QTY,0.458,N2,2,0,216.5,82.3,24.9,1962,45074,45.074,15.9,1284,29476,0.324,0.653952,0.0073238,-4.436,-4.436,0.0036619,-4.436,,,,,,,,,,,,,,,,,,,,,,,,
4,47483,03/28/24,GA1_QTY_2,B2,QTY,0.458,CO2,3,0,373.3,96.3,,,,,,,,,,,,,,,0.7,3666,94177,94.177,0.2,3709,95068,1.046,1.9,5270,0.407,135551,1.009457,0.0117924,-16.061,-16.061,1.4393191,0.0040082,-2.817,-2.817,0.0109889,-17.113,0.0019996,-2.782
4,47483,03/28/24,GA1_QTY_2,B2,QTY,0.458,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.0,4024,74600,74.6,1.6,4127,76535,0.842,3.8,5807,0.323,107677,1.0259344,0.0119849,0,0,1.443385,0.0040196,0,0,0.0111802,0,0.0020052,0
5,47484,03/28/24,GA1_QTY_3,B3,QTY,0.59,N2,1,1,47.4,26.1,21.0,922,16993,16.993,13.5,606,11170,0.123,0.6573161,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,47484,03/28/24,GA1_QTY_3,B3,QTY,0.59,N2,2,0,216.3,82.6,25.0,2583,59049,59.049,16.0,1692,38650,0.425,0.6545413,0.0073253,-4.221,-4.221,0.0036627,-4.221,,,,,,,,,,,,,,,,,,,,,,,,
5,47484,03/28/24,GA1_QTY_3,B3,QTY,0.59,CO2,3,0,371.8,98.2,,,,,,,,,,,,,,,0.8,4754,122366,122.366,0.3,4817,123587,1.359,2.1,6827,0.528,175953,1.0099781,0.0117799,-17.105,-17.105,1.4379287,0.0040054,-3.526,-3.526,0.0109766,-18.206,0.0019982,-3.489
5,47484,03/28/24,GA1_QTY_3,B3,QTY,0.59,CO2,4,1,525.4,36.6,,,,,,,,,,,,,,,2.3,4029,74764,74.764,1.8,4138,76824,0.845,4.3,5813,0.324,107886,1.0275545,0.0119849,0,0,1.4430172,0.0040196,0,0,0.0111802,0,0.0020052,0
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,N2,1,1,47.4,26.1,21.1,922,16979,16.979,13.5,605,11149,0.123,0.656649,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,N2,2,0,216.5,79.8,25.0,1996,45471,45.471,16.0,1306,29731,0.327,0.6538458,0.007325,-4.269,-4.269,0.0036625,-4.269,,,,,,,,,,,,,,,,,,,,,,,,
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,CO2,3,0,373.3,95.1,,,,,,,,,,,,,,,0.9,3720,94920,94.92,0.4,3773,96035,1.056,2.1,5348,0.41,136634,1.0117519,0.011787,-16.512,-16.512,1.439471,0.0040103,-2.307,-2.307,0.0109832,-17.616,0.0020006,-2.27
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,CO2,4,1,525.4,38.9,,,,,,,,,,,,,,,2.1,4032,74780,74.78,1.6,4147,76929,0.846,3.8,5817,0.324,107893,1.0287386,0.0119849,0,0,1.4427996,0.0040196,0,0,0.0111802,0,0.0020052,0
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,N2,1,1,47.4,26.1,21.1,924,17011,17.011,13.5,607,11181,0.123,0.6572818,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,N2,2,0,216.3,80.9,25.2,2018,45539,45.539,16.2,1320,29769,0.327,0.6537072,0.0073164,-5.438,-5.438,0.0036582,-5.438,,,,,,,,,,,,,,,,,,,,,,,,
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,CO2,3,0,373.1,94.5,,,,,,,,,,,,,,,0.8,3718,94208,94.208,0.4,3828,96753,1.064,2.2,5346,0.407,135654,1.0270134,0.0119495,-2.953,-2.953,1.439939,0.0040123,-1.805,-1.805,0.0111456,-3.099,0.0020016,-1.8
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.0,4033,74793,74.793,1.6,4156,77041,0.847,3.8,5815,0.324,107892,1.0300552,0.0119849,0,0,1.4425428,0.0040196,0,0,0.0111802,0,0.0020052,0
8,47487,03/28/24,SAL_STD_01,B6,STD,0.451,N2,1,1,47.4,26.1,21.1,923,17008,17.008,13.5,607,11177,0.123,0.657197,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
