Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,d 13C/12C
1,47583,04/03/24,DUMMY,B5,DUMMY,0.55,N2,1,1,46.4,25.7,21.1,680,12532,12.532,0,,,,,
1,47583,04/03/24,DUMMY,B5,DUMMY,0.55,N2,2,0,217.4,87.6,25.6,2977,70171,70.171,11.549,,,,,
1,47583,04/03/24,DUMMY,B5,DUMMY,0.55,CO2,3,0,373.7,100.7,,,,,,0.2,4858,128291,128.291,-18.054
1,47583,04/03/24,DUMMY,B5,DUMMY,0.55,CO2,4,1,525.2,39.3,,,,,,2.2,4412,79664,79.664,0
2,47584,04/03/24,BLANK,B6,BLANK,0,N2,1,1,47.4,25.7,22.2,700,12902,12.902,0,,,,,
2,47584,04/03/24,BLANK,B6,BLANK,0,CO2,2,1,525.2,38.7,,,,,,0.5,4385,81289,81.289,0
3,47585,04/03/24,GA1_QTY_1,B7,QTY,0.355,N2,1,1,47.4,25.7,21.7,694,12777,12.777,0,,,,,
3,47585,04/03/24,GA1_QTY_1,B7,QTY,0.355,N2,2,0,217.4,82.3,26.5,1596,37256,37.256,-4.506,,,,,
3,47585,04/03/24,GA1_QTY_1,B7,QTY,0.355,CO2,3,0,376.2,95.1,,,,,,0.5,2988,77783,77.783,-21.542
3,47585,04/03/24,GA1_QTY_1,B7,QTY,0.355,CO2,4,1,525.2,37.8,,,,,,1.7,4382,81815,81.815,0
4,47586,04/03/24,GA1_QTY_2,B8,QTY,0.448,N2,1,1,33.6,25.7,21.6,686,12591,12.591,0,,,,,
4,47586,04/03/24,GA1_QTY_2,B8,QTY,0.448,N2,2,0,217.4,83.4,26.5,2025,47137,47.137,-4.382,,,,,
4,47586,04/03/24,GA1_QTY_2,B8,QTY,0.448,CO2,3,0,375.2,97.4,,,,,,0.7,3761,97993,97.993,-18.068
4,47586,04/03/24,GA1_QTY_2,B8,QTY,0.448,CO2,4,1,525.2,38.9,,,,,,1.9,4301,79794,79.794,0
5,47587,04/03/24,GA1_QTY_3,B9,QTY,0.683,N2,1,1,35.7,25.7,21.6,683,12578,12.578,0,,,,,
5,47587,04/03/24,GA1_QTY_3,B9,QTY,0.683,N2,2,0,217.4,86.1,26.5,3147,72696,72.696,-4.398,,,,,
5,47587,04/03/24,GA1_QTY_3,B9,QTY,0.683,CO2,3,0,372.6,101.4,,,,,,0.7,5733,150194,150.194,-18.627
5,47587,04/03/24,GA1_QTY_3,B9,QTY,0.683,CO2,4,1,525.2,38.9,,,,,,2.4,4295,79680,79.68,0
6,47588,04/03/24,GA1_STD_01,B10,STD,0.432,N2,1,1,47.4,25.7,21.7,682,12563,12.563,0,,,,,
6,47588,04/03/24,GA1_STD_01,B10,STD,0.432,N2,2,0,217.2,82.6,26.5,1813,42006,42.006,-4.364,,,,,
6,47588,04/03/24,GA1_STD_01,B10,STD,0.432,CO2,3,0,375.4,95.9,,,,,,0.8,3374,87487,87.487,-17.894
6,47588,04/03/24,GA1_STD_01,B10,STD,0.432,CO2,4,1,525.2,39.1,,,,,,1.8,4293,79636,79.636,0
7,47589,04/03/24,GA2_STD_01,B11,STD,0.437,N2,1,1,47.4,25.7,21.6,681,12554,12.554,0,,,,,
7,47589,04/03/24,GA2_STD_01,B11,STD,0.437,N2,2,0,217.6,83.8,26.1,1987,46094,46.094,-5.445,,,,,
7,47589,04/03/24,GA2_STD_01,B11,STD,0.437,CO2,3,0,375.6,97,,,,,,0.7,3688,95739,95.739,-3.168
7,47589,04/03/24,GA2_STD_01,B11,STD,0.437,CO2,4,1,525.2,38.2,,,,,,1.9,4291,79638,79.638,0
8,47590,04/03/24,SAL_STD_01,B12,STD,0.45,N2,1,1,47.4,25.7,21.6,681,12552,12.552,0,,,,,
8,47590,04/03/24,SAL_STD_01,B12,STD,0.45,N2,2,0,217.4,85.9,26.3,2630,60193,60.193,11.525,,,,,
8,47590,04/03/24,SAL_STD_01,B12,STD,0.45,CO2,3,0,374.5,94.1,,,,,,0.7,4262,109739,109.739,-15.574
8,47590,04/03/24,SAL_STD_01,B12,STD,0.45,CO2,4,1,525.4,39.7,,,,,,2.8,4424,81567,81.567,0
9,47591,04/03/24,89_W_03_a,C1,SAMPLE,0.699,N2,1,1,47.4,25.7,22.4,702,12897,12.897,0,,,,,
