Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,d.13C.12C.blank,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47337,8,GLU_9,SAMPLE,0.476,GLU_9_47337,103.939,-18.008,50.074,-2.597,-17.96249429965835,-2.5793466666666665,-17.745187632991684,-29.220554742922072,-2.873114682583734,37.48339098424466,8.73908148016379
47338,9,GLU_10,SAMPLE,0.456,GLU_10_47338,99.716,-17.757,48.04,-2.719,-17.705733057102325,-2.69914,-17.461263057102325,-28.948853390050697,-2.9922481599465818,39.48957752467713,9.196221600771684
47339,10,PHE_1,SAMPLE,0.459,PHE_1_47339,163.948,-0.959,43.705,2.7,-0.774042441477607,2.7220666666666666,-0.5024091081442736,-12.720094232282163,2.3990969485957816,33.75873612336314,9.292474834228571
47340,11,PHE_2,SAMPLE,0.462,PHE_2_47340,161.34,-0.855,43.439,2.681,-0.6660560709662589,2.7052733333333334,-0.3672594042995922,-12.590762851721873,2.38239611774949,33.760289269836406,9.24166615020792
47341,12,PHE_3,SAMPLE,0.473,PHE_3_47341,165.535,-0.774,44.154,3.029,-0.5891525486754201,3.0554799999999998,-0.2631925486754201,-12.491176173204913,2.7306737458505386,32.62832013734607,9.001717644569725
47342,13,PHE_4,SAMPLE,0.471,PHE_4_47342,165.398,-1.056,44.105,2.962,-0.8735598228284402,2.990686666666667,-0.5204364894951069,-12.737345517720936,2.666237312744105,32.77824464143278,9.041663852435592
47343,14,PHE_5,SAMPLE,0.453,PHE_5_47343,159.25,-1.108,42.525,2.948,-0.9189408599082904,2.978893333333333,-0.5386541932416238,-12.75477893199525,2.654508940466578,34.611455720159704,9.458679157685387
47344,15,PHE_6,SAMPLE,0.451,PHE_6_47344,158.66,-1.058,42.354,3.077,-0.8677574679808453,3.1101,-0.46030746798084526,-12.679805107768459,2.7849928832557262,34.816104619538365,9.506901731138267
47345,16,PHE_7,SAMPLE,0.449,PHE_7_47345,159.211,0.174,41.898,2.843,0.3752088167787715,2.8783066666666666,0.8098221501121048,-11.464355777688848,2.554476333952546,34.92319522204552,9.566062524666002
47349,20,PHE_8,SAMPLE,0.459,PHE_8_47349,161.852,2.274,43.306,2.903,2.4913940185704586,2.9471333333333334,3.0346606852371254,-9.33529865742956,2.6229238836377835,33.93732097476504,9.30686637829767
47350,21,PHE_9,SAMPLE,0.457,PHE_9_47350,162.895,-1.926,42.687,2.962,-1.7487565456054677,3.00834,-1.1783265456054677,-13.366912781230617,2.6837934064642237,33.99658784290674,9.370021088170482
47351,22,PHE_10,SAMPLE,0.452,PHE_10_47351,159.675,-0.929,42.337,3.022,-0.7387638855524958,3.0705466666666665,-0.14117055221916253,-12.374407339744893,2.7456574210044167,34.651257799238074,9.486491432314033
47352,23,VAL_1,SAMPLE,0.468,VAL_1_47352,130.054,-1.452,62.048,0.74,-1.2239912651189622,0.7907533333333333,-0.5992345984522954,-12.81275129314672,0.4784218419351525,35.94185407431056,8.464882478594719
47353,24,VAL_2,SAMPLE,0.465,VAL_2_47353,130.75,-2.631,60.928,0.657,-2.417800256844904,0.70996,-1.7658802568449041,-13.929171746409319,0.39807354140867085,36.11520110239377,8.559370684603937
47354,25,VAL_3,SAMPLE,0.462,VAL_3_47354,124.003,-1.279,59.321,0.895,-1.037627258925422,0.9501666666666667,-0.3585439255920887,-12.582422582661568,0.6369570809968927,36.92084511309177,8.672537566662502
47355,26,VAL_4,SAMPLE,0.461,VAL_4_47355,127.997,-1.553,60.989,0.87,-1.322472649951001,0.9273733333333334,-0.6162259832843342,-12.829011182702114,0.6142892998680833,36.662110499142564,8.631447877424586
47356,27,VAL_5,SAMPLE,0.459,VAL_5_47356,130.694,-1.586,62.416,0.719,-1.3606649355674127,0.7785799999999999,-0.6272549355674127,-12.839565328100342,0.4663155628063997,36.59206658544286,8.617587162356596
47357,28,VAL_6,SAMPLE,0.443,VAL_6_47357,122.446,-0.598,58.076,0.709,-0.3451370073662696,0.7707866666666666,0.4154363259670637,-11.841762917024532,0.45856515738388487,38.641809608983344,9.091025248105813
47358,29,VAL_7,SAMPLE,0.434,VAL_7_47358,118.127,-2.551,57.81,0.712,-2.313705704830249,0.7759933333333333,-1.5259690381635822,-13.699588933859351,0.46374314424015867,39.83232550954101,9.289695846534608
47363,34,VAL_8,SAMPLE,0.445,VAL_8_47363,123.226,-1.742,58.705,0.722,-1.504749755620649,0.7970266666666667,-0.5811964222873157,-12.795489677620818,0.48466061995276283,38.39958963473622,9.026765524483713
47364,35,VAL_9,SAMPLE,0.447,VAL_9_47364,121.992,-1.556,57.905,0.926,-1.3140218998697328,1.0032333333333334,-0.3633052332030662,-12.58697891145166,0.6897314412733839,38.33574207124503,9.016007174994977
47365,36,VAL_10,SAMPLE,0.449,VAL_10_47365,124.615,-1.905,59.706,0.851,-1.6723974140311348,0.9304399999999999,-0.6945174140311348,-12.903932092896344,0.6173390744569258,37.93651742370135,8.909439680790292
47366,37,22_W_03_a,SAMPLE,0.654,22_W_03_a_47366,100.875,-6.722,75.777,11.842,-6.506004658603848,11.923646666666667,-5.500961325270515,-17.50345402259722,11.549992012030842,27.464711216641106,5.709896003694739
47367,38,22_W_03_b,SAMPLE,0.602,22_W_03_b_47367,87.97,-0.872,64.556,11.593,-0.5230497912834808,11.676853333333334,0.5091568753831859,-11.75207712639353,11.304558087021368,30.67543249304321,6.51169989934902
47368,39,22_W_03_c,SAMPLE,0.355,22_W_03_c_47368,45.682,-6.809,32.231,10.492,-6.326177607313355,10.57806,-5.266807607313354,-17.27938084488958,10.211817221894362,56.67721423807184,12.549875747801021
47369,40,22_W_03_d,SAMPLE,0.561,22_W_03_d_47369,85.87,-5.979,62.618,12.166,-5.711484327040384,12.254266666666666,-4.62495099370705,-16.66515676893558,11.878790862431849,33.06370274466284,7.044791905423765
47370,41,22_W_03_e,SAMPLE,0.651,22_W_03_e_47370,102.899,-6.818,78.761,11.717,-6.607725184892943,11.807473333333334,-5.494028518226276,-17.496819679489672,11.434458594671781,27.46968735421882,5.660322303056494
