Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47488,9,86_W_02_a,SAMPLE,0.357,86_W_02_a_47488,53.218,-5.539,39.103,11.789,11.792,-5.6340699999999995,-16.50375788776183,11.447677427239556,30.04760789888026,10.573027240424395
47489,10,86_W_02_b,SAMPLE,0.425,86_W_02_b_47489,62.657,-5.168,44.168,12.019,12.022333333333334,-5.273633333333334,-16.143248507787735,11.677379401854148,29.496185595127816,9.95383015128461
47490,11,86_W_02_c,SAMPLE,0.659,86_W_02_c_47490,100.537,-6.594,72.352,12.089,12.092666666666666,-6.710196666666667,-17.580101648682167,11.747519946924594,30.038199661224773,10.268132079289453
47491,12,86_W_02_d,SAMPLE,0.507,86_W_02_d_47491,72.914,-5.713,53.029,12.777,12.780999999999999,-5.83976,-16.709489382985787,12.433966513609302,28.602608758361654,9.916750974667988
47492,13,86_W_02_e,SAMPLE,0.544,86_W_02_e_47492,80.553,-6.328,57.679,11.957,11.961333333333334,-6.465323333333334,-17.33517891540811,11.616546606840444,29.348262597153063,10.011495127737655
47494,15,NOR_1,SAMPLE,0.457,NOR_1_47494,227.162,-13.542,124.628,12.78,12.785,-13.70045,-24.57176517272759,12.437955549347906,96.4146461776672,25.100866869738788
47495,16,NOR_2,SAMPLE,0.455,NOR_2_47495,128.114,-17.213,51.281,14.994,14.999333333333333,-17.382013333333333,-28.254071212536793,14.646219250309898,55.12089913761674,10.704368248709487
47496,17,NOR_3,SAMPLE,0.473,NOR_3_47496,133.189,-16.993,53.335,14.437,14.442666666666666,-17.172576666666664,-28.044592294805962,14.091078443354226,55.07944670010447,10.687801589288364
47500,21,NOR_4,SAMPLE,0.457,NOR_4_47500,129.326,-14.621,51.453,14.572,14.578999999999999,-14.842830000000001,-25.71437563271078,14.227038078111633,55.387912200652444,10.691391894931558
47501,22,NOR_5,SAMPLE,0.442,NOR_5_47501,124.195,-16.775,50.208,15.394,15.401333333333334,-17.007393333333333,-27.879375637930355,15.047117342039563,55.04292962963614,10.800739012643021
47502,23,NOR_6,SAMPLE,0.434,NOR_6_47502,121.23,-16.742,48.705,14.934,14.941666666666666,-16.98495666666667,-27.856934444964367,14.588710651745028,54.748305362180474,10.68817828792938
47503,24,NOR_7,SAMPLE,0.472,NOR_7_47503,132.62,-16.716,53.279,15.25,15.258,-16.969520000000003,-27.84149466415535,14.9041768947396,54.96511770607856,10.699768275770762
47504,25,NOR_8,SAMPLE,0.44,NOR_8_47504,123.493,-16.883,49.605,15.083,15.091333333333333,-17.14708333333333,-28.019093818531424,14.737967072297781,54.987373055656775,10.726503982243223
47505,26,NOR_9,SAMPLE,0.466,NOR_9_47505,132.138,-16.831,52.961,15.469,15.477666666666666,-17.105646666666665,-27.977648792567937,15.123241440717916,55.47460394834617,10.776123004829891
47506,27,NOR_10,SAMPLE,0.434,NOR_10_47506,121.978,-16.709,48.992,15.39,15.399000000000001,-16.99421,-27.866189645034723,15.04479040452538,55.07859604697186,10.747688814528885
47507,28,ALA_1,SAMPLE,0.466,ALA_1_47507,96.749,-7.842,77.751,-1.342,-1.3326666666666667,-8.137773333333334,-19.007966309969362,-1.641013670408714,40.92112469284408,15.563440558106704
47508,29,ALA_2,SAMPLE,0.438,ALA_2_47508,90.188,-7.696,72.465,-1.258,-1.2483333333333333,-8.002336666666666,-18.8725023207551,-1.556911500253154,40.66643608084142,15.472301559175733
47509,30,ALA_3,SAMPLE,0.483,ALA_3_47509,96.663,-8.467,78.125,-1.359,-1.349,-8.783900000000001,-19.654223324104244,-1.657302233008012,39.446714558120824,15.085341887288594
47514,35,ALA_4,SAMPLE,0.432,ALA_4_47514,88.969,-7.8,71.074,-1.316,-1.3043333333333333,-8.169716666666666,-19.039916087445683,-1.6127580005936046,40.69048787174268,15.397430248683563
47515,36,ALA_5,SAMPLE,0.465,ALA_5_47515,96.46,-8.064,77.608,-1.363,-1.351,-8.444280000000001,-19.31453481028267,-1.6592967508773135,40.890022288840875,15.569235508751925
47516,37,ALA_6,SAMPLE,0.444,ALA_6_47516,90.047,-7.979,72.422,-1.278,-1.2656666666666667,-8.369843333333334,-19.240083127007736,-1.574197321787103,40.056031237607996,15.254501007238163
