Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47533,3,GA1_QTY_1,QTY,0.342,GA1_QTY_1_47533,73.831,-17.609,35.271,-4.349,GA1,0.139593456,0.0325584,-28.3,-4.6,-4.35368,-17.643600000000003,-28.291686618601258,-4.559410579895031,40.92777221746656,9.5607568393133
47534,4,GA1_QTY_2,QTY,0.45,GA1_QTY_2_47534,96.613,-17.321,46.389,-4.521,GA1,0.18367560000000002,0.042839999999999996,-28.3,-4.6,-4.52724,-17.367133333333335,-28.00439001309642,-4.733244170594208,40.65276818683205,9.500482696406229
47535,5,GA1_QTY_3,QTY,0.577,GA1_QTY_3_47535,123.126,-17.515,59.212,-4.481,GA1,0.23551293599999998,0.0549304,-28.3,-4.6,-4.4887999999999995,-17.572666666666667,-28.217974636865748,-4.694743575834607,40.37057358018443,9.41914126365909
47536,6,GA1_STD_01,STANDARD,0.443,GA1_STD_01_47536,95.433,-17.151,45.205,-4.534,GA1,0.180818424,0.042173600000000006,-28.3,-4.6,-4.54336,-17.2202,-27.851700908072868,-4.749389581299848,40.792799077591106,9.408903127658322
47537,7,GA2_STD_01,STANDARD,0.452,GA2_STD_01_47537,97.412,-7.084,46.789,-5.463,GA2,0.18449193600000002,0.0430304,-13.7,-5.7,-5.47392,-7.1647333333333325,-17.402334715281597,-5.681416466302302,40.806258297728306,9.538474706591769
47538,8,SAL_STD_01,STANDARD,0.459,SAL_STD_01_47538,109.705,-10.213,60.24,11.521,SALMON,0.20976300000000003,0.0542997,-21.3,11.3,11.50852,-10.305266666666666,-20.66589113971415,11.327793743615478,45.23477197307463,12.043159104363303
47548,18,GA1_STD_02,STANDARD,0.466,GA1_STD_02_47548,100.44,-17.537,48.419,-4.318,GA1,0.190206288,0.044363200000000005,-28.3,-4.6,-4.34608,-17.7446,-28.39664305876036,-4.551798599661604,40.80574671414981,9.568233873210174
47549,19,GA2_STD_02,STANDARD,0.45,GA2_STD_02_47549,97.324,-0.341,47.012,-5.208,GA2,0.18367560000000002,0.042839999999999996,-13.7,-5.7,-5.23764,-0.5601333333333334,-10.53901486701572,-5.444764007150416,40.95073970756804,9.625682693850283
47550,20,SAL_STD_02,STANDARD,0.465,SAL_STD_02_47550,114.377,-6.018,61.409,11.391,SALMON,0.21250500000000003,0.0550095,-21.3,11.3,11.3598,-6.248666666666667,-16.45038326694739,11.178839309363452,46.5459157141578,12.115111088081818
47561,31,GA1_STD_03,STANDARD,0.449,GA1_STD_03_47561,96.093,-17.703,46.195,-4.314,GA1,0.18326743199999998,0.0427448,-28.3,-4.6,-4.36236,-18.060533333333332,-28.72495234583232,-4.568104262582684,40.52489778982108,9.482568233172413
47562,32,GA2_STD_03,STANDARD,0.437,GA2_STD_03_47562,94.213,-3.316,45.519,-5.519,GA2,0.178369416,0.0416024,-13.7,-5.7,-5.56892,-3.6850666666666667,-13.78636019772073,-5.776566219220152,40.82638607750081,9.603066747002353
47563,33,SAL_STD_03,STANDARD,0.457,SAL_STD_03_47563,111.417,-10.611,60.998,11.593,SALMON,0.208849,0.0540631,-21.3,11.3,11.54152,-10.9916,-21.379109985547835,11.360845763050099,46.13922468190068,12.245861126316106
47574,44,GA1_STD_04,STANDARD,0.451,GA1_STD_04_47574,97.02,-17.445,46.731,-4.365,GA1,0.18408376799999998,0.0429352,-28.3,-4.6,-4.4336400000000005,-17.952466666666666,-28.612652418770992,-4.639496624561467,40.73281959889014,9.54799430388018
47575,45,GA2_STD_04,STANDARD,0.475,GA2_STD_04_47575,105.844,-1.991,49.121,-5.457,GA2,0.1938798,0.045219999999999996,-13.7,-5.7,-5.5272,-2.5100000000000002,-12.565263026602274,-5.734780454044019,42.17813895902934,9.520592044589707
47576,46,SAL_STD_04,STANDARD,0.455,SAL_STD_04_47576,112.899,-10.777,61.478,11.585,SALMON,0.207935,0.0538265,-21.3,11.3,11.513240000000001,-11.307533333333332,-21.707419272619795,11.332521183970977,46.956297631859705,12.39509133960983
47577,47,GA2_QTY_1,QTY,0.369,GA2_QTY_1_47577,79.421,-2.956,37.884,-5.638,GA2,0.150613992,0.0351288,-13.7,-5.7,-5.71132,-3.4980666666666664,-13.592034907525152,-5.9191906909622745,40.79001028497209,9.50157526836977
47578,48,GA2_QTY_2,QTY,0.447,GA2_QTY_2_47578,95.028,-3.181,45.69,-5.416,GA2,0.18245109599999998,0.0425544,-13.7,-5.7,-5.490880000000001,-3.7346,-13.837833884214604,-5.698403201139007,40.25689309952573,9.422828360791069
47579,49,GA2_QTY_3,QTY,0.604,GA2_QTY_3_47579,130.504,-3.496,63.159,-5.361,GA2,0.24653347199999998,0.0575008,-13.7,-5.7,-5.43744,-4.061133333333333,-14.177158401639897,-5.644878961181849,40.869594046128206,9.589048145187933
