Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47585,3,GA1_QTY_1,QTY,0.355,GA1_QTY_1_47585,77.783,-21.542,37.256,-4.506,GA1,0.14489964,0.03379599999999999,-28.3,-4.6,-30.424659742926885,-4.838805405096729,41.63460177439161,9.70551504428773
47586,4,GA1_QTY_2,QTY,0.448,GA1_QTY_2_47586,97.993,-18.068,47.137,-4.382,GA1,0.18285926400000002,0.0426496,-28.3,-4.6,-27.22662337077437,-4.713969582054638,41.24838811491118,9.614764990501214
47587,5,GA1_QTY_3,QTY,0.683,GA1_QTY_3_47587,150.194,-18.627,72.696,-4.398,GA1,0.278778744,0.0650216,-28.3,-4.6,-27.74121816986281,-4.730077430189102,41.044682696729474,9.571043377387008
47588,6,GA1_STD_01,STANDARD,0.432,GA1_STD_01_47588,87.487,-17.894,42.006,-4.364,GA1,0.17632857600000001,0.0411264,-28.3,-4.6,-27.066445383222685,-4.695848252903367,38.324968882232405,8.934764456413708
47589,7,GA2_STD_01,STANDARD,0.437,GA2_STD_01_47589,95.739,-3.168,46.094,-5.445,GA2,0.178369416,0.0416024,-13.7,-5.7,-13.51023248272818,-5.784134742488044,41.34263831983142,9.648580993831974
47590,8,SAL_STD_01,STANDARD,0.45,SAL_STD_01_47590,109.739,-15.574,60.193,11.525,SALMON,0.20565,0.053235000000000005,-21.3,11.3,-24.930738882533618,11.300251685127101,45.8424973634542,12.102975129949579
47600,18,GA1_STD_02,STANDARD,0.46,GA1_STD_02_47600,95.065,-20.909,45.778,-4.262,GA1,0.18775728,0.043792,-28.3,-4.6,-29.841943270971626,-4.593160721046163,39.00733071363967,9.106226137364287
47601,19,GA2_STD_02,STANDARD,0.441,GA2_STD_02_47601,96.055,-3.444,46.081,-5.191,GA2,0.180002088,0.0419832,-13.7,-5.7,-13.764307911258431,-5.528422653353439,41.0987976603417,9.558494002954475
47602,20,SAL_STD_02,STANDARD,0.438,SAL_STD_02_47602,106.098,-9.376,58.539,11.4,SALMON,0.200166,0.0518154,-21.3,11.3,-19.22508849836514,11.174409121576605,45.576984383585305,12.105146470227963
47613,31,GA1_STD_03,STANDARD,0.436,GA1_STD_03_47613,96.44,-19.986,46.508,-4.316,GA1,0.17796124800000002,0.041507199999999994,-28.3,-4.6,-28.992263486430247,-4.647524708499977,41.73173283732767,9.753542832152792
47614,32,GA2_STD_03,STANDARD,0.449,GA2_STD_03_47614,98.289,-2.452,47.382,-5.146,GA2,0.18326743199999998,0.0427448,-13.7,-5.7,-12.851109269584484,-5.483119330475261,41.27718071167486,9.640950978256468
47615,33,SAL_STD_03,STANDARD,0.463,SAL_STD_03_47615,113.803,-10.862,62.333,11.598,SALMON,0.21159100000000003,0.0547729,-21.3,11.3,-20.593045334582364,11.37374374224059,46.161877487882144,12.166347893958022
47626,44,GA1_STD_04,STANDARD,0.443,GA1_STD_04_47626,96.98,-17.612,46.503,-4.469,GA1,0.180818424,0.042173600000000006,-28.3,-4.6,-26.806846575811342,-4.801556006285783,41.29541894673551,9.59843906539916
47627,45,GA2_STD_04,STANDARD,0.461,GA2_STD_04_47627,99.573,-2.99,47.983,-5.586,GA2,0.188165448,0.0438872,-13.7,-5.7,-13.346372242589105,-5.926085154173003,40.71249888872451,9.503719055577157
47628,46,SAL_STD_04,STANDARD,0.461,SAL_STD_04_47628,111.056,-10.706,60.543,11.576,SALMON,0.21067700000000003,0.0545363,-21.3,11.3,-20.44943748367396,11.351595451055703,45.27152187211625,11.880413509224445
47629,47,GA2_QTY_1,QTY,0.303,GA2_QTY_1_47629,66.083,-2.969,31.603,-5.413,GA2,0.12367490399999999,0.028845599999999996,-13.7,-5.7,-13.32704041650528,-5.751919046219118,41.71239926110468,9.743647995193585
47630,48,GA2_QTY_2,QTY,0.448,GA2_QTY_2_47630,96.91,-3.282,46.66,-5.363,GA2,0.18285926400000002,0.0426496,-13.7,-5.7,-13.615176681468935,-5.70158202079892,40.805934462198415,9.521884392323594
47631,49,GA2_QTY_3,QTY,0.669,GA2_QTY_3_47631,145.562,-5.314,70.48,-5.386,GA2,0.27306439200000004,0.0636888,-13.7,-5.7,-15.48576099586557,-5.724737052492211,40.6363721382162,9.482380558832428
