Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.13C.12C.blank,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47689,3,GA1_QTY_1,QTY,0.29,GA1_QTY_1_47689,61.102,-21.159,29.71,-4.493,GA1,0.11836872,0.027607999999999997,-28.3,-4.6,-21.42946840746818,-4.505850000000001,-21.250808407468178,-30.853469450628666,-4.629641116820307,38.630184568815636,9.097366644936567
47690,4,GA1_QTY_2,QTY,0.416,GA1_QTY_2_47690,88.274,-16.687,42.643,-4.394,GA1,0.16979788799999998,0.0396032,-28.3,-4.6,-16.798886224924537,-4.411133333333334,-16.560672891591203,-27.274967490652806,-4.535185674352635,40.99807360404623,9.560109981691017
47691,5,GA1_QTY_3,QTY,0.625,GA1_QTY_3_47691,109.003,-15.046,52.424,-4.474,GA1,0.255105,0.05949999999999999,-28.3,-4.6,-15.114417823310244,-4.495416666666667,-14.816651156643578,-25.944305471266865,-4.619236558139194,34.43186758389296,7.983189564053736
47692,6,GA1_STD_01,STANDARD,0.473,GA1_STD_01_47692,98.992,-21.468,48.319,-4.492,GA1,0.193063464,0.045029599999999996,-28.3,-4.6,-21.63796896141712,-4.5177,-21.280648961417118,-30.87623733876997,-4.6414584350667445,40.938047732583634,9.650235202091718
47693,7,GA2_STD_01,STANDARD,0.448,GA2_STD_01_47693,100.552,6.638,47.65,-5.875,GA2,0.18285926400000002,0.0426496,-13.7,-5.7,6.877908026958091,-5.904983333333333,7.294781360291424,-9.07361925508604,-6.024915704938564,43.972538839163086,10.0341723256937
47694,8,SAL_STD_01,STANDARD,0.453,SAL_STD_01_47694,107.106,-9.546,59.212,11.662,SALMON,0.207021,0.0535899,-21.3,11.3,-9.540903946247848,11.627733333333333,-9.064477279581181,-21.55548441833385,11.459446537647896,46.60338106942353,12.56547132354751
47704,18,GA1_STD_02,STANDARD,0.456,GA1_STD_02_47704,97.027,-16.423,46.919,-4.365,GA1,0.186124608,0.043411200000000004,-28.3,-4.6,-16.520675220470626,-4.4421,-15.448715220470625,-26.426560724570024,-4.566066936380601,41.536106956868466,9.692191174619916
47705,19,GA2_STD_02,STANDARD,0.464,GA2_STD_02_47705,98.398,-2.22,47.767,-5.325,GA2,0.189389952,0.0441728,-13.7,-5.7,-2.105948763433063,-5.406383333333333,-0.9744354300997298,-15.382905712099411,-5.527690820746614,41.45637457503536,9.714268419713246
47706,20,SAL_STD_02,STANDARD,0.452,SAL_STD_02_47706,105.508,-8.828,58.615,11.592,SALMON,0.20656400000000003,0.05347160000000001,-21.3,11.3,-8.81291863325384,11.506333333333334,-7.621851966587173,-20.454783278124992,11.338381353249776,45.94501364291507,12.456547779142062
47717,31,GA1_STD_03,STANDARD,0.445,GA1_STD_03_47717,94.285,-24.134,45.61,-4.33,GA1,0.18163476,0.042364,-28.3,-4.6,-24.3538178547964,-4.462783333333333,-22.507664521463067,-31.812431521577984,-4.586693226034372,41.23568249744547,9.627274237160801
47718,32,GA2_STD_03,STANDARD,0.447,GA2_STD_03_47718,100.048,-1.904,48.561,-5.48,GA2,0.18245109599999998,0.0425544,-13.7,-5.7,-1.787255465866222,-5.617066666666667,0.11845120080044458,-14.549049859220839,-5.737793099161859,43.828061047163516,10.267588515446002
47719,33,SAL_STD_03,STANDARD,0.465,SAL_STD_03_47719,110.121,-9.491,60.634,11.419,SALMON,0.21250500000000003,0.0550095,-21.3,11.3,-9.48531862722557,11.277650000000001,-7.520058627225571,-20.377116510675553,11.1103287180045,46.797242643749286,12.55775899230536
47724,38,GA1_STD_04,STANDARD,0.438,GA1_STD_04_47724,93.958,-15.638,45.217,-4.293,GA1,0.17877758400000002,0.0416976,-28.3,-4.6,-15.726731458463817,-4.455766666666666,-13.46370479179715,-24.912028002533667,-4.579695911010812,41.73389901766633,9.688254198125959
47725,39,GA2_STD_04,STANDARD,0.445,GA2_STD_04_47725,94.389,-1.762,45.885,-5.467,GA2,0.18163476,0.042364,-13.7,-5.7,-1.635954321001054,-5.634049999999999,0.6866256789989458,-14.115541386606605,-5.754729593245011,41.28601969930809,9.69124465548302
47726,40,SAL_STD_04,STANDARD,0.472,SAL_STD_04_47726,110.524,-9.412,60.966,11.631,SALMON,0.215704,0.0558376,-21.3,11.3,-9.405299684658196,11.459666666666667,-7.023166351324862,-19.997995272666916,11.291843391097835,46.287114495350174,12.444332979537538
47727,41,GA2_QTY_1,QTY,0.284,GA2_QTY_1_47727,61.99,-1.579,29.724,-4.948,GA2,0.115919712,0.027036799999999993,-13.7,-5.7,-1.381174720084477,-5.123616666666667,1.0605119465821895,-13.83027185935617,-5.2457040115073905,40.11977299849382,9.294667421764897
47728,42,GA2_QTY_2,QTY,0.461,GA2_QTY_2_47728,96.294,-2.47,46.531,-5.46,GA2,0.188165448,0.0438872,-13.7,-5.7,-2.3572036517742756,-5.6399,0.14403634822572453,-14.5295287814401,-5.760563459214772,40.74313983257488,9.49994589524609
47729,43,GA2_QTY_3,QTY,0.562,GA2_QTY_3_47729,118.11,-2.365,57.331,-5.544,GA2,0.22939041600000004,0.053502400000000006,-13.7,-5.7,-2.2720022798566886,-5.728183333333333,0.2887910534766447,-14.419083146190841,-5.848603311185784,41.78190344031506,9.7819312282524
