Year,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik,Togiak,Total Run
1963,136350.70,1597997.27,452397.67,615338.55,378138.28,1796531.01,1991859.77,679649.32,352718.00,8000980.57
1964,191054.09,2413804.48,266354.88,2181685.06,759383.05,1943395.18,2012601.40,1305818.32,366342.00,11440438.45
1965,297253.09,1302507.09,582186.38,48627304.92,397860.61,1222067.36,5170949.67,2884254.35,390216.00,60874599.48
1966,310078.42,2500620.89,411584.84,8915532.98,394077.16,2884786.49,2903851.05,1373739.28,338867.00,20033138.12
1967,412373.60,1150410.21,139628.99,5545422.53,344305.59,1555050.91,1725062.80,440092.80,171404.00,11483751.42
1968,290685.72,1547964.89,218458.35,3975964.10,314033.56,1822083.25,1011976.91,149356.42,135862.00,9466385.20
1969,759994.23,1351285.17,184391.57,14054748.97,324288.96,2641101.32,2016715.50,301894.30,306138.00,21940558.01
1970,522005.61,2238536.85,865759.51,34839684.71,500779.51,2689519.09,1945368.91,1052934.46,424470.00,45079058.67
1971,335231.21,2063662.46,674291.31,6978106.78,537293.52,3658033.57,1996100.30,1774596.39,485097.00,18502412.55
1972,127964.89,998549.91,87174.07,2132286.58,302589.31,1468384.34,1774534.95,131748.18,176734.00,7199966.23
1973,113965.85,735060.42,417125.01,410486.63,63552.97,684258.62,787541.57,63411.41,271311.00,3546713.48
1974,430597.40,2244579.17,252194.81,5061353.09,247579.73,1474643.48,1504237.23,66751.58,238117.00,11520053.48
1975,357436.72,1773846.77,1053797.80,16219630.70,112656.70,3211149.76,2238670.98,525564.69,408258.00,25901012.14
1976,307997.32,1711906.97,1083587.25,3545332.46,157449.67,3200600.09,1704895.45,618700.62,545833.00,12876302.83
1977,170035.15,812891.67,1096783.01,1675472.25,234915.33,2912820.42,2998167.01,429697.41,402023.00,10732805.25
1978,845205.12,4706520.49,1431831.67,7919094.22,1110702.15,2256809.80,2078292.47,97115.02,770801.00,21216371.94
1979,1392465.72,4185627.69,1048799.63,24927042.45,1620186.94,2826605.63,2579853.17,2286731.62,615563.00,41482875.85
1980,2393481.00,6143341.61,5389939.17,37931680.06,855660.86,5080050.30,3449719.41,4642573.24,1173132.00,67059577.64
1981,1338130.80,6009033.28,3875793.57,6901353.49,667234.70,8756831.24,4641785.16,4078237.48,998636.00,37267035.72
1982,716737.28,4093669.81,4067177.59,2811875.14,1345575.82,4660805.79,3785029.68,2682649.73,971638.00,25135158.83
1983,1187356.79,4106631.48,2159923.60,21496871.57,2664575.18,3308264.25,8446307.46,4148448.42,782718.00,48301096.74
1984,299792.02,2349711.65,1340820.43,23930917.96,1193249.44,3876353.27,5458425.16,4166991.72,381684.00,42997945.66
1985,643146.43,1527764.22,995643.31,14093497.29,843580.11,4237309.75,8331666.16,7940798.20,307346.00,38920751.46
1986,609140.89,2106059.95,2379337.93,2012448.61,1020938.71,3991315.65,5506500.13,6727273.70,406154.00,24759169.56
1987,471444.66,3517784.92,1380199.93,10318113.26,780737.32,2319010.08,6385229.44,2910012.71,573237.00,28655769.32
1988,293251.49,2000001.52,1090076.23,6860048.61,851134.60,1962972.63,8117564.38,2155143.21,1001541.00,24331733.67
1989,906594.83,3099741.63,1190738.06,20484408.00,1379369.77,3669831.30,9807459.99,5363340.07,178895.00,46080378.65
1990,876172.31,3195122.87,1804526.26,18192988.96,1591425.19,8300331.60,12605427.23,2712617.44,343722.00,49622333.85
