YEAR,DJ,JF,FM,MA,AM,MJ,JJ,JA,AS,SO,ON,ND,
1979,0.5,0.3,0,0.2,0.3,-0.1,-0.1,0.5,0.4,0.2,0.5,0.6,
1980,0.3,0.2,0.4,0.5,0.5,0.6,0.5,0,0.1,0,-0.1,-0.1,
1981,-0.4,-0.2,0.3,0.4,-0.2,-0.7,-0.6,-0.3,-0.1,-0.2,-0.3,-0.2,
1982,-0.4,-0.5,-0.3,-0.4,-0.1,0.6,1.7,1.9,1.7,1.8,2.1,2.4,
1983,2.5,2.7,2.6,2.8,2.9,2,0.6,-0.2,-0.5,-0.5,-0.5,-0.5,
1984,-0.5,-0.6,-0.2,0.1,-0.4,-0.7,-0.3,-0.2,-0.1,-0.2,-0.6,-0.3,
1985,-0.2,-0.6,-0.6,-0.8,-1.2,-0.7,-0.1,-0.5,-0.6,-0.1,-0.1,-0.4,
1986,-0.4,-0.3,-0.4,-0.5,-0.3,0,0.4,1,1.3,0.6,0.6,1.1,
1987,1,1.2,1.6,1.7,2,2.1,1.9,1.5,1.3,1.2,0.9,0.8,
1988,0.6,0.3,0.2,0,-0.4,-1.2,-1.8,-1.8,-1.8,-1.6,-1.7,-1.5,
1989,-1.1,-1.1,-1.2,-1.1,-1,-1,-1.1,-0.7,-0.5,-0.5,-0.4,-0.1,
1990,0.1,0.5,0.6,0.2,0.1,0.1,0.1,0,0.2,-0.1,0.1,0.3,
1991,0.2,0.1,0.2,0.2,0.4,1,0.9,0.4,0.5,1,1,1.2,
1992,1.7,1.6,1.7,2,1.7,1.5,0.6,0,0.4,0.7,0.6,0.7,
1993,0.8,0.9,0.8,1,1.5,1.5,0.9,0.6,0.6,1,0.7,0.3,
1994,0,-0.2,-0.2,0,0,0.3,1,0.9,1.1,1.5,1,0.9,
1995,0.8,0.5,0.2,0.1,0.1,0,-0.3,-0.7,-0.9,-0.7,-0.8,-0.9,
1996,-0.8,-0.8,-0.7,-0.8,-0.8,-0.9,-0.8,-0.6,-0.3,-0.4,-0.3,-0.5,
1997,-0.6,-0.7,-0.3,0.2,0.7,2.3,2.3,2.3,2.2,2.1,2.1,2.1,
1998,2.3,2.5,2.3,2.6,2.3,0.4,-1.5,-1.8,-1.4,-1.3,-1.3,-1.3,
1999,-1.3,-1.2,-1.1,-1.2,-1.3,-1.3,-1.2,-1,-1.2,-1.3,-1.3,-1.4,
2000,-1.2,-1.3,-1.4,-0.9,-0.9,-1.2,-0.6,-0.1,-0.3,-0.5,-0.9,-0.8,
2001,-0.8,-0.9,-0.8,-0.6,-0.5,-0.7,0,0.4,-0.1,-0.2,-0.3,0.1,
2002,0.1,-0.3,-0.2,-0.4,-0.1,0.3,0.4,1,0.9,0.8,0.8,0.9,
2003,0.8,0.6,0.5,-0.1,-0.6,-0.1,0,0.1,0.2,0.3,0.3,0.1,
2004,0.2,0,-0.4,-0.2,-0.5,-0.4,0.5,0.8,0.6,0.4,0.6,0.5,
2005,0.1,0.6,0.8,0.1,0.2,0.2,0,0,0,-0.7,-0.7,-0.7,
2006,-0.6,-0.5,-0.6,-0.8,-0.4,-0.2,0.2,0.6,0.7,0.8,1,0.6,
2007,0.6,0.4,-0.2,-0.3,-0.4,-0.8,-0.7,-0.9,-1.1,-1.1,-1.1,-1.2,
2008,-1.1,-1.3,-1.5,-1.1,-1,-0.8,-0.8,-1,-1,-1.1,-1,-1,
2009,-1,-0.8,-0.9,-0.8,-0.7,0,0.6,0.6,0.4,0.6,1,1,
2010,0.9,1.3,1.3,0.5,-0.1,-1.3,-2.4,-2.4,-2.3,-2.2,-2,-1.9,
2011,-1.8,-1.6,-1.7,-1.7,-1.2,-1,-0.7,-0.8,-1.1,-1.3,-1.1,-1.2,
2012,-1.1,-0.7,-0.6,-0.4,-0.3,-0.3,0.3,0,-0.3,-0.2,0,0,
2013,-0.1,-0.1,-0.1,-0.3,-0.7,-1.1,-0.8,-0.4,-0.3,-0.1,-0.2,-0.3,
2014,-0.5,-0.4,0,-0.2,-0.2,0,0.4,0.2,-0.1,0.1,0.4,0.4,
2015,0.2,0.1,0.2,0.3,1,1.9,1.8,2,2.2,2.2,1.9,1.9,
2016,1.9,1.8,1.3,1.3,1.2,0.4,-0.5,-0.3,-0.3,-0.5,-0.5,-0.4,
2017,-0.4,-0.4,-0.6,-0.2,0.2,-0.2,-0.6,-0.7,-0.7,-0.6,-0.6,-0.7,
2018,-0.8,-0.7,-0.8,-1.3,-0.9,-0.5,0,0.5,0.6,0.5,0.3,0.2,
2019,0.1,0.5,0.8,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.5,0.4,
2020,0.3,0.3,0.1,-0.1,-0.2,-0.7,-0.9,-1,-1.1,-1.2,-1.1,-1.1,
2021,-1.2,-1,-0.8,-0.9,-1.1,-1,-1.4,-1.3,-1.4,-1.5,-1.4,-1.2,
2022,-1,-1,-1.3,-1.6,-1.6,-1.9,-2.2,-1.7,-1.7,-1.7,-1.5,-1.3,
