Year,Month,NPGO
1951,1,-0.4785301
1951,2,-0.41382623
1951,3,-0.5695402
1951,4,-0.5611402
1951,5,-1.0714146
1951,6,-1.4352384
1951,7,-1.1039251
1951,8,-1.1748548
1951,9,-1.4195153
1951,10,-1.0693902
1951,11,-1.0120413
1951,12,-1.2247459
1952,1,-1.3350548
1952,2,-1.0909977
1952,3,-0.66951597
1952,4,-0.43371916
1952,5,-0.62650865
1952,6,-0.9726563
1952,7,-1.3356465
1952,8,-0.8974282
1952,9,-0.58261824
1952,10,-0.25781196
1952,11,-0.3162133
1952,12,0.8450804
1953,1,0.9439523
1953,2,0.7479716
1953,3,1.2173325
1953,4,1.2502004
1953,5,1.2707072
1953,6,1.056728
1953,7,1.0407542
1953,8,0.6189014
1953,9,0.290731
1953,10,1.0815173
1953,11,2.0496204
1953,12,1.418955
1954,1,1.0939573
1954,2,1.156514
1954,3,0.07937343
1954,4,-0.37253308
1954,5,-0.16404022
1954,6,0.17838068
1954,7,-0.035203405
1954,8,-0.13153747
1954,9,-0.2628033
1954,10,0.18381241
1954,11,0.35474005
1954,12,0.40412548
1955,1,0.32620734
1955,2,-0.24927549
1955,3,-0.2159785
1955,4,0.0407132
1955,5,0.26141044
1955,6,-0.015894134
1955,7,-0.088022545
1955,8,0.2745267
1955,9,-0.11022702
1955,10,-0.5241936
1955,11,-0.08002877
1955,12,-0.5180143
1956,1,0.1202669
1956,2,-0.13795981
1956,3,0.022979146
1956,4,-0.038234934
1956,5,0.14195733
1956,6,0.47106722
1956,7,0.4639145
1956,8,0.5397591
1956,9,0.30064613
1956,10,-0.05150898
1956,11,-0.22625107
1956,12,-0.76721174
1957,1,-1.2715967
1957,2,-1.9587271
1957,3,-1.3393664
1957,4,-1.2553542
1957,5,-1.0382093
1957,6,-1.168171
1957,7,-0.75587755
1957,8,-0.9054412
1957,9,-0.9222347
1957,10,-1.028629
1957,11,-1.407435
1957,12,-0.71664125
1958,1,0.11660279
1958,2,0.14663044
1958,3,-1.1516998
1958,4,-0.7193548
1958,5,-0.8509836
1958,6,-0.72342443
1958,7,-0.8696465
1958,8,-0.6288164
1958,9,-0.2044341
1958,10,-0.50880796
1958,11,-0.7745184
1958,12,-0.4052313
1959,1,0.12278854
1959,2,-0.5906448
1959,3,-0.39206877
1959,4,-0.45130384
1959,5,-0.43784907
1959,6,-0.37320206
1959,7,-0.39649445
1959,8,-0.50436497
1959,9,0.0726592
1959,10,0.13413239
1959,11,-0.04796909
1959,12,0.42278478
1960,1,1.0163805
1960,2,0.81857806
1960,3,0.8632686
1960,4,0.7934822
1960,5,0.9189205
1960,6,0.31314453
1960,7,0.7091522
1960,8,0.43794465
1960,9,0.52397597
1960,10,0.4885355
1960,11,0.95336825
1960,12,1.1361285
1961,1,1.1032184
1961,2,1.3593808
1961,3,1.7493986
1961,4,0.9571569
1961,5,1.4002097
1961,6,1.2018429
1961,7,1.0626986
1961,8,1.0746483
1961,9,0.7729668
1961,10,0.34873727
1961,11,0.22058506
1961,12,0.3973708
1962,1,0.17476225
1962,2,-0.14977738
1962,3,-0.6076764
1962,4,-0.47141796
1962,5,-0.7390136
1962,6,-0.30441144
1962,7,-0.062123466
1962,8,-0.37063506
1962,9,0.33421582
1962,10,0.16424
1962,11,0.44560528
1962,12,0.46514246
1963,1,-0.8128502
1963,2,-0.27996257
1963,3,-1.0965502
1963,4,-0.81056845
1963,5,-0.42822716
1963,6,-0.7162381
1963,7,-0.36669314
1963,8,-0.1346054
1963,9,0.11978808
1963,10,0.50714135
1963,11,0.66107476
1963,12,0.54103297
1964,1,1.0728952
1964,2,0.29248032
1964,3,0.3516698
1964,4,0.25015274
1964,5,0.2719013
1964,6,0.8840953
1964,7,1.6039742
1964,8,0.7818842
1964,9,0.91256374
1964,10,0.7126723
1964,11,0.07438337
1964,12,-0.6794434
1965,1,-0.6092707
1965,2,-0.8375497
1965,3,-0.9425717
1965,4,-0.8794335
1965,5,-1.1591951
1965,6,-0.8303012
1965,7,-0.69218266
1965,8,-0.44396174
1965,9,-0.85712343
1965,10,-0.6830458
1965,11,-0.9184142
1965,12,-1.1935027
1966,1,-0.32304436
1966,2,-1.114448
1966,3,-0.5991017
1966,4,-1.3692633
1966,5,-1.678718
1966,6,-1.2637274
1966,7,-1.1138805
1966,8,-0.97791946
1966,9,-0.75325036
1966,10,-0.79952866
1966,11,-0.938397
1966,12,-0.54499555
1967,1,-0.73605126
1967,2,-0.6100609
1967,3,-1.119196
1967,4,-0.8913807
1967,5,-0.9950983
1967,6,-1.252485
1967,7,-1.1731513
1967,8,-0.75379956
1967,9,-0.051677916
1967,10,0.007117773
1967,11,-0.5875148
1967,12,-0.23339957
1968,1,-0.7661097
1968,2,-0.6258595
1968,3,-0.6320541
1968,4,-1.1582636
1968,5,-1.2594507
1968,6,-1.0381912
1968,7,-1.0214287
1968,8,-0.95952815
1968,9,-0.91457814
1968,10,-0.73758113
1968,11,-0.22530565
1968,12,-0.8688706
1969,1,-2.5593479
1969,2,-0.7369928
1969,3,-0.7334626
1969,4,-0.1832465
1969,5,-0.09088089
1969,6,-0.77551687
1969,7,-0.73089033
1969,8,-0.23232563
1969,9,0.015210575
1969,10,0.28993967
1969,11,-0.04127024
1969,12,1.1272413
1970,1,-0.19163921
1970,2,-0.32133678
1970,3,-0.41263577
1970,4,-0.2217705
1970,5,0.4841777
1970,6,0.37084585
1970,7,0.27240294
1970,8,0.41332337
1970,9,0.3985782
1970,10,0.22630739
1970,11,-0.21421458
1970,12,-0.071520776
1971,1,-0.20162667
1971,2,0.05960068
1971,3,0.45392928
1971,4,0.85376877
1971,5,0.49495694
1971,6,0.4126202
1971,7,0.7909253
1971,8,0.706051
1971,9,0.5284254
1971,10,0.3306484
1971,11,0.18247128
1971,12,-0.027959272
1972,1,-0.5305133
1972,2,-0.4084414
1972,3,-0.69411045
1972,4,-0.68113065
1972,5,-0.7473883
1972,6,-0.7609987
1972,7,-0.32239863
1972,8,-0.42736155
1972,9,-0.92539716
1972,10,-1.0954562
1972,11,-0.55620605
1972,12,-0.7622423
1973,1,-0.048363216
1973,2,-0.5033958
1973,3,-0.07234753
1973,4,-0.05058907
1973,5,0.2546612
1973,6,0.514428
1973,7,0.32357246
1973,8,0.16718172
1973,9,0.3572996
1973,10,0.35027915
1973,11,-0.11299269
1973,12,0.33929288
1974,1,-1.0033867
1974,2,-0.38642797
1974,3,-0.026205273
1974,4,0.014818799
1974,5,-0.16634801
1974,6,0.2191814
1974,7,0.37670198
1974,8,0.26162988
1974,9,-0.16775788
1974,10,0.007498615
1974,11,0.04270522
1974,12,0.71586734
1975,1,0.63875186
1975,2,0.98490834
1975,3,0.7158461
1975,4,0.649219
1975,5,0.7158651
1975,6,0.45778814
1975,7,0.5110082
1975,8,1.0259992
1975,9,0.57322174
1975,10,0.9564958
1975,11,1.273857
1975,12,1.0790459
1976,1,1.0782443
1976,2,1.1829994
1976,3,1.6799048
1976,4,2.4363155
1976,5,2.180764
1976,6,2.0671275
1976,7,2.2670345
1976,8,2.4363637
1976,9,2.4321413
1976,10,1.6933671
1976,11,1.5746723
1976,12,1.3296016
1977,1,1.3217052
1977,2,1.9341241
1977,3,1.699481
1977,4,1.396454
1977,5,1.0719304
1977,6,0.9238298
1977,7,1.0368123
1977,8,1.2847435
1977,9,0.76644075
1977,10,1.2530538
1977,11,1.4486669
1977,12,0.85400224
1978,1,1.2148573
1978,2,1.2447464
1978,3,0.61619693
1978,4,0.45326293
1978,5,0.5867699
1978,6,0.38409042
1978,7,0.4258601
1978,8,0.863985
1978,9,1.2864755
1978,10,0.35159373
1978,11,-0.258884
1978,12,-1.1153547
1979,1,-0.51478624
1979,2,-0.23329146
1979,3,-0.62883687
1979,4,-1.034361
1979,5,-0.78180605
1979,6,-0.82272106
1979,7,-1.1482481
1979,8,-1.2509887
1979,9,-0.7848141
1979,10,-0.6129027
1979,11,-0.492072
1979,12,-0.5414346
1980,1,-1.9028722
1980,2,-1.7223209
1980,3,-1.1510684
1980,4,-0.06578211
1980,5,-0.21080144
1980,6,-0.68274075
1980,7,-0.9904321
1980,8,-1.0831368
1980,9,-0.69690746
1980,10,-0.06602338
1980,11,-0.13450485
1980,12,-0.2826969
1981,1,-0.26440728
1981,2,-1.0577437
1981,3,-0.69053924
1981,4,-0.6267043
1981,5,0.19965579
1981,6,0.008819323
1981,7,-0.5260566
1981,8,-0.6977296
1981,9,0.0029769
1981,10,-0.287794
1981,11,0.7562201
1981,12,0.5212158
1982,1,-0.19996038
1982,2,-0.873463
1982,3,-0.6206741
1982,4,-1.0710987
1982,5,-0.99310637
1982,6,-0.8476034
1982,7,-0.61058104
1982,8,-0.45697364
1982,9,-0.45956734
1982,10,-1.006738
1982,11,-0.86607015
1982,12,-0.2344606
1983,1,0.6046553
1983,2,0.4739596
1983,3,0.43032065
1983,4,-0.7205152
1983,5,-0.743966
1983,6,-0.07688731
1983,7,-0.04863779
1983,8,-0.010007802
1983,9,-0.40973574
1983,10,-0.48714715
1983,11,0.56100833
1983,12,-0.6778232
1984,1,-0.21510063
1984,2,0.40077925
1984,3,0.7190706
1984,4,1.1599523
1984,5,0.98165596
1984,6,0.7374802
1984,7,0.4158185
1984,8,0.36820698
1984,9,0.8230328
1984,10,0.943337
1984,11,0.8624774
1984,12,0.25228998
1985,1,0.32392517
1985,2,-0.06466194
1985,3,0.23143698
1985,4,0.31925946
1985,5,0.15633692
1985,6,-0.044718165
1985,7,0.17832953
1985,8,-0.23258977
1985,9,-0.9362678
1985,10,-1.183255
1985,11,-1.793918
1985,12,-1.68069
1986,1,-0.7685944
1986,2,-1.4491836
1986,3,-0.46623734
1986,4,-0.9667763
1986,5,-0.4984116
1986,6,-0.6658538
1986,7,-0.9414224
1986,8,-1.0182601
1986,9,-0.768198
1986,10,-0.2937993
1986,11,-0.50124604
1986,12,-0.45618454
1987,1,0.68659836
1987,2,0.7675583
1987,3,0.28541377
1987,4,0.47076848
1987,5,0.27433926
1987,6,0.39440557
1987,7,0.4261996
1987,8,0.3395003
1987,9,0.17022806
1987,10,0.12124511
1987,11,0.5215173
1987,12,0.6923227
1988,1,1.105185
1988,2,0.7968497
1988,3,0.96814877
1988,4,1.5734973
1988,5,1.7784138
1988,6,1.7426903
1988,7,1.7248738
1988,8,1.3928516
1988,9,1.31624
1988,10,1.4868884
1988,11,1.2427056
1988,12,0.7552969
1989,1,1.3125811
1989,2,0.6617441
1989,3,0.92933697
1989,4,0.78376126
1989,5,0.5835106
1989,6,0.5221062
1989,7,1.2640097
1989,8,0.6669763
1989,9,0.65426135
1989,10,0.44178706
1989,11,-0.3006112
1989,12,-0.17257603
1990,1,0.2687734
1990,2,-0.28017566
1990,3,0.6527155
1990,4,0.24156556
1990,5,-0.09605543
