"","year","mo","data-type","region","extent","area"
"1",1979,1,"Goddard","N",15.41,12.41
"2",1980,1,"Goddard","N",14.86,11.94
"3",1981,1,"Goddard","N",14.91,11.91
"4",1982,1,"Goddard","N",15.18,12.19
"5",1983,1,"Goddard","N",14.94,12.01
"6",1984,1,"Goddard","N",14.47,11.68
"7",1985,1,"Goddard","N",14.72,11.69
"8",1986,1,"Goddard","N",14.89,11.88
"9",1987,1,"Goddard","N",14.97,11.9
"10",1988,1,"-9999","N",-9999,-9999
"11",1989,1,"Goddard","N",14.95,13.18
"12",1990,1,"Goddard","N",14.78,12.8
"13",1991,1,"Goddard","N",14.36,12.57
"14",1992,1,"Goddard","N",14.64,12.61
"15",1993,1,"Goddard","N",14.9,12.93
"16",1994,1,"Goddard","N",14.73,12.88
"17",1995,1,"Goddard","N",14.59,12.79
"18",1996,1,"Goddard","N",14.18,12.15
"19",1997,1,"Goddard","N",14.42,12.39
"20",1998,1,"Goddard","N",14.72,12.81
"21",1999,1,"Goddard","N",14.36,12.6
"22",2000,1,"Goddard","N",14.22,12.3
"23",2001,1,"Goddard","N",14.2,12.35
"24",2002,1,"Goddard","N",14.27,12.26
"25",2003,1,"Goddard","N",14.39,12.29
"26",2004,1,"Goddard","N",14.03,12.26
"27",2005,1,"Goddard","N",13.66,11.92
"28",2006,1,"Goddard","N",13.47,11.65
"29",2007,1,"Goddard","N",13.7,11.86
"30",2008,1,"Goddard","N",13.89,12.3
"31",2009,1,"Goddard","N",13.91,12.32
"32",2010,1,"Goddard","N",13.74,12.04
"33",2011,1,"Goddard","N",13.46,11.83
"34",2012,1,"Goddard","N",13.73,12.21
"35",2013,1,"Goddard","N",13.7,12.02
"36",2014,1,"Goddard","N",13.65,12.1
"37",2015,1,"Goddard","N",13.6,12.17
"38",2016,1,"Goddard","N",13.46,11.8
"39",2017,1,"Goddard","N",13.19,11.37
"40",2018,1,"Goddard","N",13.08,11.7
"41",2019,1,"Goddard","N",13.57,12.14
"42",2020,1,"Goddard","N",13.64,12.15
"43",2021,1,"Goddard","N",13.5,11.75
"44",2022,1,"Goddard","N",13.87,12.26
"45",2023,1,"NRTSI-G","N",13.35,11.83
"46",2024,1,"NRTSI-G","N",13.92,12.19
"47",1979,2,"Goddard","N",16.18,13.18
"48",1980,2,"Goddard","N",15.96,12.9
"49",1981,2,"Goddard","N",15.6,12.53
"50",1982,2,"Goddard","N",15.97,12.87
"51",1983,2,"Goddard","N",16.01,12.94
"52",1984,2,"Goddard","N",15.3,12.26
"53",1985,2,"Goddard","N",15.47,12.48
"54",1986,2,"Goddard","N",15.78,12.62
"55",1987,2,"Goddard","N",16.05,13.02
"56",1988,2,"Goddard","N",15.58,13.57
"57",1989,2,"Goddard","N",15.5,13.36
"58",1990,2,"Goddard","N",15.58,13.42
"59",1991,2,"Goddard","N",15.25,13.22
"60",1992,2,"Goddard","N",15.46,13.58
"61",1993,2,"Goddard","N",15.69,13.61
"62",1994,2,"Goddard","N",15.56,13.52
"63",1995,2,"Goddard","N",15.23,13.37
"64",1996,2,"Goddard","N",15.15,12.98
"65",1997,2,"Goddard","N",15.44,13.44
"66",1998,2,"Goddard","N",15.75,13.77
"67",1999,2,"Goddard","N",15.31,13.45
"68",2000,2,"Goddard","N",15.14,13.09
"69",2001,2,"Goddard","N",15.21,13.22
"70",2002,2,"Goddard","N",15.34,13.42
"71",2003,2,"Goddard","N",15.19,13.23
"72",2004,2,"Goddard","N",14.91,12.94
"73",2005,2,"Goddard","N",14.37,12.35
"74",2006,2,"Goddard","N",14.32,12.35
"75",2007,2,"Goddard","N",14.51,12.58
"76",2008,2,"Goddard","N",14.95,13.21
"77",2009,2,"Goddard","N",14.81,13.21
"78",2010,2,"Goddard","N",14.58,12.96
"79",2011,2,"Goddard","N",14.36,12.76
"80",2012,2,"Goddard","N",14.55,12.72
"81",2013,2,"Goddard","N",14.72,13.2
"82",2014,2,"Goddard","N",14.42,12.56
"83",2015,2,"Goddard","N",14.4,12.85
"84",2016,2,"Goddard","N",14.2,12.43
"85",2017,2,"Goddard","N",14.12,12.32
"86",2018,2,"Goddard","N",13.97,12.31
"87",2019,2,"Goddard","N",14.39,12.76
"88",2020,2,"Goddard","N",14.64,12.95
"89",2021,2,"Goddard","N",14.39,12.76
"90",2022,2,"Goddard","N",14.61,12.9
"91",2023,2,"NRTSI-G","N",14.18,12.57
"92",2024,2,"NRTSI-G","N",14.61,12.73
"93",1979,3,"Goddard","N",16.34,13.21
"94",1980,3,"Goddard","N",16.04,12.99
"95",1981,3,"Goddard","N",15.63,12.71
"96",1982,3,"Goddard","N",16.04,13.07
"97",1983,3,"Goddard","N",16.09,12.93
"98",1984,3,"Goddard","N",15.58,12.55
"99",1985,3,"Goddard","N",15.89,12.75
"100",1986,3,"Goddard","N",15.91,12.72
"101",1987,3,"Goddard","N",15.82,12.83
"102",1988,3,"Goddard","N",15.96,13.9
"103",1989,3,"Goddard","N",15.42,13.21
"104",1990,3,"Goddard","N",15.87,13.51
"105",1991,3,"Goddard","N",15.42,13.42
"106",1992,3,"Goddard","N",15.48,13.48
"107",1993,3,"Goddard","N",15.81,13.77
"108",1994,3,"Goddard","N",15.55,13.55
"109",1995,3,"Goddard","N",15.26,13.34
"110",1996,3,"Goddard","N",15.12,12.9
"111",1997,3,"Goddard","N",15.47,13.3
"112",1998,3,"Goddard","N",15.6,13.57
"113",1999,3,"Goddard","N",15.4,13.54
"114",2000,3,"Goddard","N",15.22,13.17
"115",2001,3,"Goddard","N",15.52,13.64
"116",2002,3,"Goddard","N",15.35,13.42
"117",2003,3,"Goddard","N",15.48,13.42
"118",2004,3,"Goddard","N",14.99,12.99
"119",2005,3,"Goddard","N",14.69,12.74
"120",2006,3,"Goddard","N",14.42,12.52
"121",2007,3,"Goddard","N",14.54,12.56
"122",2008,3,"Goddard","N",15.18,13.53
"123",2009,3,"Goddard","N",14.98,13.43
"124",2010,3,"Goddard","N",15.14,13.53
"125",2011,3,"Goddard","N",14.55,12.83
"126",2012,3,"Goddard","N",15.2,13.41
"127",2013,3,"Goddard","N",15.03,13.45
"128",2014,3,"Goddard","N",14.76,12.95
"129",2015,3,"Goddard","N",14.37,12.78
"130",2016,3,"Goddard","N",14.4,12.61
"131",2017,3,"Goddard","N",14.29,12.61
"132",2018,3,"Goddard","N",14.3,12.69
"133",2019,3,"Goddard","N",14.57,12.89
"134",2020,3,"Goddard","N",14.73,13.03
"135",2021,3,"Goddard","N",14.66,12.99
"136",2022,3,"Goddard","N",14.59,12.8
"137",2023,3,"NRTSI-G","N",14.44,12.87
"138",2024,3,"NRTSI-G","N",14.87,13.15
"139",1979,4,"Goddard","N",15.45,12.53
"140",1980,4,"Goddard","N",15.43,12.52
"141",1981,4,"Goddard","N",15.01,12.24
"142",1982,4,"Goddard","N",15.47,12.63
"143",1983,4,"Goddard","N",15.17,12.21
"144",1984,4,"Goddard","N",15.01,12.18
"145",1985,4,"Goddard","N",15.36,12.54
"146",1986,4,"Goddard","N",15.06,12.04
"147",1987,4,"Goddard","N",15.21,12.35
"148",1988,4,"Goddard","N",15.12,13.18
"149",1989,4,"Goddard","N",14.33,12.36
"150",1990,4,"Goddard","N",14.65,12.28
"151",1991,4,"Goddard","N",14.86,12.87
"152",1992,4,"Goddard","N",14.68,12.84
