Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,45312,09/14/23,CONDITIONER,Extra,CONDITIONER,0.45,N2,1,1,47.7,28,28.3,3306,60949,60.949,18.2,2179,40175,0.442,0.6591525,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,45312,09/14/23,CONDITIONER,Extra,CONDITIONER,0.45,N2,2,0,217.8,101.6,32.0,3322,82393,82.393,20.7,2214,54945,0.604,0.6668654,0.0074425,11.701,11.701,0.0037212,11.701,,,,,,,,,,,,,,,,,,,,,,,,
1,45312,09/14/23,CONDITIONER,Extra,CONDITIONER,0.45,CO2,3,0,371.4,120.6,,,,,,,,,,,,,,,0.4,5268,148238,148.238,-0.2,5558,156035,1.716,2.3,7479,0.632,210661,1.0525964,0.0118757,-9.111,-9.111,1.4210985,0.0039817,-9.409,-9.409,0.0110749,-9.417,0.0019864,-9.398
1,45312,09/14/23,CONDITIONER,Extra,CONDITIONER,0.45,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2.5,5212,95973,95.973,1.9,5533,101950,1.121,5.2,7473,0.413,137683,1.0622749,0.0119849,0,0,1.4345966,0.0040196,0,0,0.0111802,0,0.0020052,0
2,45313,09/14/23,BLANK,Extra,BLANK,0,N2,1,1,47.7,28,29.2,3301,60758,60.758,19.2,2174,40024,0.44,0.6587331,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,45313,09/14/23,BLANK,Extra,BLANK,0,CO2,2,1,525.4,40.3,,,,,,,,,,,,,,,0.7,5198,96434,96.434,0.1,5520,102452,1.127,2.5,7459,0.415,138397,1.0624034,0.0119849,0,0,1.4351495,0.0040196,0,0,0.0111802,0,0.0020052,0
3,45314,09/14/23,GA1_QTY_1,E1,QTY,0.263,N2,1,1,47.4,28,28.9,3296,60353,60.353,18.8,2170,39718,0.437,0.6581056,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,45314,09/14/23,GA1_QTY_1,E1,QTY,0.263,N2,2,0,216.9,91.3,32.3,1379,33104,33.104,21.0,904,21691,0.239,0.6552405,0.0073244,-4.354,-4.354,0.0036622,-4.354,,,,,,,,,,,,,,,,,,,,,,,,
3,45314,09/14/23,GA1_QTY_1,E1,QTY,0.263,CO2,3,0,373.1,108.5,,,,,,,,,,,,,,,0.6,2548,68375,68.375,0.0,2667,71490,0.786,2.6,3624,0.292,97372,1.0455676,0.0117966,-15.708,-15.708,1.4240975,0.0039888,-7.642,-7.642,0.0109951,-16.555,0.0019899,-7.613
3,45314,09/14/23,GA1_QTY_1,E1,QTY,0.263,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.6,5173,96071,96.071,1.1,5492,102052,1.123,4.0,7421,0.414,137868,1.0622535,0.0119849,0,0,1.4350639,0.0040196,0,0,0.0111802,0,0.0020052,0
4,45315,09/14/23,GA1_QTY_2,E2,QTY,0.46,N2,1,1,47.4,28,29.3,3304,60876,60.876,19.2,2174,40063,0.441,0.6581192,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,45315,09/14/23,GA1_QTY_2,E2,QTY,0.46,N2,2,0,217.8,98.6,32.9,2397,58892,58.892,21.4,1570,38588,0.424,0.6552388,0.0073242,-4.377,-4.377,0.0036621,-4.377,,,,,,,,,,,,,,,,,,,,,,,,
