Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,46309,10/01/23,DUMMY,Extra,CONDITIONER,0.45,N2,1,1,47.7,28,20.8,3319,61340,61.34,13.4,2184,40387,0.444,0.6584045,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,46309,10/01/23,DUMMY,Extra,CONDITIONER,0.45,N2,2,0,214.6,81.7,24.5,3194,69380,69.38,15.8,2130,46215,0.508,0.6661167,0.0074426,11.713,11.713,0.0037213,11.713,,,,,,,,,,,,,,,,,,,,,,,,
1,46309,10/01/23,DUMMY,Extra,CONDITIONER,0.45,CO2,3,0,370.6,97.4,,,,,,,,,,,,,,,0.7,5001,123100,123.1,0.1,5283,129590,1.425,2.5,7104,0.525,175065,1.0527183,0.0118762,-9.066,-9.066,1.4221319,0.0039829,-9.113,-9.113,0.0110753,-9.38,0.0019869,-9.102
1,46309,10/01/23,DUMMY,Extra,CONDITIONER,0.45,CO2,4,1,525.6,41.6,,,,,,,,,,,,,,,2.7,5217,96187,96.187,2.2,5540,102184,1.124,5.4,7486,0.414,138049,1.0623495,0.0119849,0,0,1.4352106,0.0040196,0,0,0.0111802,0,0.0020052,0
2,46310,10/01/23,BLANK,Extra,BLANK,0,N2,1,1,47.9,28.2,21.7,3325,61693,61.693,14.4,2189,40614,0.447,0.6583263,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,46310,10/01/23,BLANK,Extra,BLANK,0,CO2,2,1,525.4,41,,,,,,,,,,,,,,,1.0,5191,96217,96.217,0.4,5511,102212,1.124,2.8,7450,0.414,138148,1.0623097,0.0119849,0,0,1.4357993,0.0040196,0,0,0.0111802,0,0.0020052,0
3,46311,10/01/23,GA1_QTY_1,A1,QTY,0.297,N2,1,1,47.7,27.8,21.4,3315,61126,61.126,14.0,2182,40238,0.443,0.6582687,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,46311,10/01/23,GA1_QTY_1,A1,QTY,0.297,N2,2,0,214.6,77.5,25.0,1736,37756,37.756,16.3,1139,24749,0.272,0.6555051,0.0073255,-4.198,-4.198,0.0036628,-4.198,,,,,,,,,,,,,,,,,,,,,,,,
3,46311,10/01/23,GA1_QTY_1,A1,QTY,0.297,CO2,3,0,372.2,90.7,,,,,,,,,,,,,,,0.9,3172,77491,77.491,0.3,3323,81008,0.891,2.8,4510,0.331,110322,1.0453968,0.0117958,-15.77,-15.77,1.4236812,0.0039858,-8.404,-8.404,0.0109947,-16.594,0.0019884,-8.376
3,46311,10/01/23,GA1_QTY_1,A1,QTY,0.297,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,2.2,5202,96475,96.475,1.6,5523,102470,1.127,4.6,7466,0.416,138513,1.0621473,0.0119849,0,0,1.435747,0.0040196,0,0,0.0111802,0,0.0020052,0
