Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,46752,11/09/23,Dummy,A1,DUMMY,0.39,N2,1,1,47.4,26.8,26.3,3453,63513,63.513,16.9,2277,41901,0.461,0.6597269,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,46752,11/09/23,Dummy,A1,DUMMY,0.39,N2,2,0,215.1,97.8,30.3,2650,61132,61.132,19.6,1770,40794,0.449,0.6673085,0.0074409,11.492,11.492,0.0037205,11.492,,,,,,,,,,,,,,,,,,,,,,,,
1,46752,11/09/23,Dummy,A1,DUMMY,0.39,CO2,3,0,371.2,133.1,,,,,,,,,,,,,,,0.3,4060,108015,108.015,-0.3,4286,113751,1.251,1.8,5762,0.461,153510,1.0531039,0.0118688,-9.687,-9.687,1.4211907,0.0039836,-8.954,-8.954,0.0110678,-10.052,0.0019873,-8.942
1,46752,11/09/23,Dummy,A1,DUMMY,0.39,CO2,4,1,525.6,42.4,,,,,,,,,,,,,,,4.2,5420,100034,100.034,3.9,5761,106377,1.17,7.4,7770,0.43,143452,1.0634054,0.0119849,0,0,1.4340314,0.0040196,0,0,0.0111802,0,0.0020052,0
2,46753,11/09/23,BLANK,A2,BLANK,0,N2,1,1,47.7,27,28.8,3453,63525,63.525,19.2,2276,41885,0.461,0.6593511,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,46753,11/09/23,BLANK,A2,BLANK,0,CO2,2,0,376.4,96.6,,,,,,,,,,,,,,,1.2,123,3888,3.888,0.6,129,4088,0.045,3.1,175,0.017,5550,1.0513495,0.0118479,-11.424,-11.424,1.4272862,0.0039991,-5.078,-5.078,0.0110454,-12.058,0.0019951,-5.057
2,46753,11/09/23,BLANK,A2,BLANK,0,CO2,3,1,525.4,42.2,,,,,,,,,,,,,,,2.2,5407,100158,100.158,1.7,5747,106518,1.172,4.5,7755,0.431,143684,1.063499,0.0119849,0,0,1.4345712,0.0040196,0,0,0.0111802,0,0.0020052,0
3,46754,11/09/23,GA1_QTY_,A3,QTY,0.362,N2,1,1,47.7,27,28.1,3453,63992,63.992,18.6,2276,42192,0.464,0.659329,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,46754,11/09/23,GA1_QTY_,A3,QTY,0.362,N2,2,0,214.4,88.8,31.5,2193,48664,48.664,20.6,1441,31956,0.352,0.65667,0.0073267,-4.033,-4.033,0.0036634,-4.033,,,,,,,,,,,,,,,,,,,,,,,,
3,46754,11/09/23,GA1_QTY_,A3,QTY,0.362,CO2,3,0,370.3,119.8,,,,,,,,,,,,,,,0.9,3902,98891,98.891,0.3,4093,103464,1.138,2.7,5541,0.422,140651,1.0462388,0.0117924,-16.058,-16.058,1.422285,0.0039856,-8.452,-8.452,0.0109913,-16.9,0.0019883,-8.424
