Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,peak ID
44821,5AA,1401.1,22.884,-0.465,-0.465,VAL
44821,5AA,1539.3,39.093,15.124,15.124,NOR
44821,5AA,2076.6,20.667,-2.283,-2.283,GLU
44821,5AA,2190.7,19.721,-4.021,-4.021,PHE
44822,5AA,1281.4,35.283,-0.253,-0.253,ALA
44822,5AA,1402,23.051,-0.146,-0.146,VAL
44822,5AA,1540.1,39.552,15.32,15.32,NOR
44822,5AA,2077.3,21.165,-2.885,-2.885,GLU
44822,5AA,2191.4,18.998,-4.552,-4.552,PHE
44823,5AA,1281.2,34.67,-0.38,-0.38,ALA
44823,5AA,1401.8,22.542,-0.374,-0.374,VAL
44823,5AA,1540.1,38.629,15.067,15.067,NOR
44823,5AA,2077,20.608,-2.979,-2.979,GLU
44823,5AA,2190.9,18.066,-4.4,-4.4,PHE
44827,19_W_2,1269.3,5.929,25.026,25.026,ALA
44827,19_W_2,1391.9,1.908,22.264,22.264,VAL
44827,19_W_2,1522.6,3.105,20.088,20.088,NOR
44827,19_W_2,2057.2,6.329,24.418,24.418,GLU
44827,19_W_2,2168.8,1.348,6.367,6.367,PHE
44828,19_W_2,1269.3,5.564,25.643,25.643,ALA
44828,19_W_2,1391.9,1.891,20.167,20.167,VAL
44828,19_W_2,1522.8,2.941,23.121,23.121,NOR
44828,19_W_2,2057.4,6.006,24.61,24.61,GLU
44828,19_W_2,2169,1.258,6.865,6.865,PHE
44829,19_W_2,1269.7,5.327,24.991,24.991,ALA
44829,19_W_2,1392.4,1.07,24.651,24.651,VAL
44829,19_W_2,1523.2,2.884,22.779,22.779,NOR
44829,19_W_2,2057.6,5.886,25.049,25.049,GLU
44829,19_W_2,2169.2,1.205,6.833,6.833,PHE
44830,5AA,1282,32.636,0.003,0.003,ALA
44830,5AA,1402.6,20.948,0.052,0.052,VAL
44830,5AA,1540.7,37.032,15.531,15.531,NOR
44830,5AA,2078.1,18.876,-2.171,-2.171,GLU
44830,5AA,2192,17.973,-3.753,-3.753,PHE
44831,19_K_2,1272.8,9.072,24.189,24.189,ALA
44831,19_K_2,1394.7,3.552,17.198,17.198,VAL
44831,19_K_2,1523.8,4.285,16.074,16.074,NOR
44831,19_K_2,2058.9,6.034,24.362,24.362,GLU
44831,19_K_2,2170.7,1.533,7.205,7.205,PHE
44832,19_K_2,1273.4,8.842,24.29,24.29,ALA
44832,19_K_2,1395.3,3.302,17.948,17.948,VAL
44832,19_K_2,1524.4,4.165,16.457,16.457,NOR
44832,19_K_2,2059.3,5.708,25.295,25.295,GLU
44832,19_K_2,2171.3,1.435,6.847,6.847,PHE
44833,19_K_2,1273.9,8.716,24.268,24.268,ALA
44833,19_K_2,1395.9,3.598,16.335,16.335,VAL
44833,19_K_2,1525.1,4.055,16.989,16.989,NOR
44833,19_K_2,2061.2,5.785,25.224,25.224,GLU
44833,19_K_2,2172.1,1.384,6.528,6.528,PHE
44834,19_K_3,1275.9,10.301,24.69,24.69,ALA
44834,19_K_3,1398.2,4.535,17.038,17.038,VAL
44834,19_K_3,1525.9,5.038,13.614,13.614,NOR
44834,19_K_3,2065.1,6.991,25.549,25.549,GLU
44834,19_K_3,2174.2,1.593,6.813,6.813,PHE
44835,19_K_3,1276.6,9.506,24.604,24.604,ALA
44835,19_K_3,1398.8,4.504,15.781,15.781,VAL
44835,19_K_3,1526.7,4.822,12.975,12.975,NOR
44835,19_K_3,2066,6.406,25.292,25.292,GLU
44835,19_K_3,2175.3,1.431,6.451,6.451,PHE
44836,19_K_3,1277.6,9.159,24.728,24.728,ALA
44836,19_K_3,1400.1,5.636,15.784,15.784,VAL
44836,19_K_3,1528,3.665,16.749,16.749,NOR
44836,19_K_3,2068.3,6.428,26.243,26.243,GLU
44836,19_K_3,2176.7,1.396,6.013,6.013,PHE
44837,5AA,1289.7,28.902,0.395,0.395,ALA
44837,5AA,1410.1,21.676,0.292,0.292,VAL
44837,5AA,1548.7,33.203,15.846,15.846,NOR
44837,5AA,2089.4,16.812,-1.307,-1.307,GLU
44837,5AA,2201.2,16.341,-2.495,-2.495,PHE
44838,19_E_2,1282,6.947,23.544,23.544,ALA
44838,19_E_2,1404.9,1.464,22.512,22.512,VAL
44838,19_E_2,1533.9,3.757,17.305,17.305,NOR
44838,19_E_2,2078.3,7.38,24.013,24.013,GLU
44838,19_E_2,2183,1.379,6.856,6.856,PHE
44839,19_E_2,1284.5,5.956,23.45,23.45,ALA
44839,19_E_2,1407.4,4.522,13.353,13.353,VAL
44839,19_E_2,1536.8,2.191,19.189,19.189,NOR
44839,19_E_2,2082.1,6.504,24.321,24.321,GLU
44840,19_E_2,1289.1,5.701,23.175,23.175,ALA
44840,19_E_2,1412,5.855,13.083,13.083,VAL
44840,19_E_2,1541.6,2.125,19.716,19.716,NOR
44840,19_E_2,2089,6.399,23.698,23.698,GLU
44841,5AA,1304,23.722,1.873,1.873,ALA
44841,5AA,1424.3,18.379,1.616,1.616,VAL
44841,5AA,1562.3,26.033,17.022,17.022,NOR
44841,5AA,2110.3,14.422,-1.18,-1.18,GLU
44841,5AA,2218.1,14.223,-2.231,-2.231,PHE
44842,5AA,1310.4,25.795,-0.411,-0.411,ALA
44842,5AA,1431.2,18.772,-0.182,-0.182,VAL
44842,5AA,1568.5,24.58,15.73,15.73,NOR
44842,5AA,2119.3,14.58,-1.664,-1.664,GLU
44842,5AA,2225.6,18.008,-2.962,-2.962,PHE
