Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
45954,5AA,1280.3,28.811,-0.787,-0.787,ALA
45954,5AA,1401.3,19.22,-0.821,-0.821,VAL
45954,5AA,1538.7,31.975,14.693,14.693,NOR
45954,5AA,2073.9,15.786,-3.514,-3.514,GLU
45954,5AA,2189.5,15.222,-4.798,-4.798,PHE
45955,5AA,1280.8,27.885,-0.888,-0.888,ALA
45955,5AA,1401.8,18.971,-0.766,-0.766,VAL
45955,5AA,1539.1,32.702,14.579,14.579,NOR
45955,5AA,2074.5,16.323,-3.334,-3.334,GLU
45955,5AA,2189.9,15.488,-5.057,-5.057,PHE
45956,5AA,1281,26.659,-1.02,-1.02,ALA
45956,5AA,1402.2,17.987,-0.787,-0.787,VAL
45956,5AA,1539.5,30.854,14.593,14.593,NOR
45956,5AA,2074.7,15.889,-3.452,-3.452,GLU
45956,5AA,2190.1,15.189,-4.929,-4.929,PHE
45957,95_K_2,1278,16.958,22.374,22.374,ALA
45957,95_K_2,1399.7,7.908,21.565,21.565,VAL
45957,95_K_2,1527.4,6.113,12.717,12.717,NOR
45957,95_K_2,2064.5,8.8,21.172,21.172,GLU
45957,95_K_2,2175.7,3.069,4.178,4.178,PHE
45958,95_K_2,1277.6,15.277,21.926,21.926,ALA
45958,95_K_2,1399.5,7.839,19.992,19.992,VAL
45958,95_K_2,1527.2,5.646,12.99,12.99,NOR
45958,95_K_2,2064.1,8.191,20.877,20.877,GLU
45958,95_K_2,2175.5,2.796,3.814,3.814,PHE
45959,95_K_2,1277.6,14.938,22.285,22.285,ALA
45959,95_K_2,1399.5,8.359,19.352,19.352,VAL
45959,95_K_2,1527,5.415,13.305,13.305,NOR
45959,95_K_2,2063.9,8.128,20.407,20.407,GLU
45959,95_K_2,2175.5,2.673,3.456,3.456,PHE
45960,95_E_2,1281.6,20.402,22.844,22.844,ALA
45960,95_E_2,1402.4,12.017,17.31,17.31,VAL
45960,95_E_2,1527,7.591,14.275,14.275,NOR
45960,95_E_2,2071.2,11.527,22.518,22.518,GLU
45960,95_E_2,2176.9,2.6,4.113,4.113,PHE
45961,95_E_2,1281.6,18.808,23.739,23.739,ALA
45961,95_E_2,1402.6,10.825,16.778,16.778,VAL
45961,95_E_2,1527.2,4.467,15.752,15.752,NOR
45961,95_E_2,2071.2,11.193,22.844,22.844,GLU
45961,95_E_2,2176.9,2.526,5.442,5.442,PHE
45962,95_E_2,1282.6,19.042,24.407,24.407,ALA
45962,95_E_2,1403.6,10.554,16.84,16.84,VAL
45962,95_E_2,1528,4.756,16.484,16.484,NOR
45962,95_E_2,2072.4,11.414,22.996,22.996,GLU
45962,95_E_2,2178,2.596,7.168,7.168,PHE
45963,5AA,1283.1,21.89,-0.132,-0.132,ALA
45963,5AA,1404.1,14.203,-0.015,-0.015,VAL
45963,5AA,1541.6,25.424,15.299,15.299,NOR
45963,5AA,2078.5,12.888,-2.581,-2.581,GLU
45963,5AA,2193,12.105,-3.894,-3.894,PHE
45964,95_E_3,1280.1,11.058,24.873,24.873,ALA
45964,95_E_3,1401.8,5.994,16.054,16.054,VAL
45964,95_E_3,1528.6,5.649,14.039,14.039,NOR
45964,95_E_3,2068.7,6.364,24.159,24.159,GLU
45964,95_E_3,2177.2,1.412,8.96,8.96,PHE
45965,95_E_3,1284.3,10.609,25.338,25.338,ALA
45965,95_E_3,1405.9,8.511,14.602,14.602,VAL
45965,95_E_3,1533.2,3.417,18.337,18.337,NOR
45965,95_E_3,2075.2,5.953,24.094,24.094,GLU
45965,95_E_3,2183,1.313,10.695,10.695,PHE
45966,95_E_3,1290.2,10.612,25.264,25.264,ALA
45966,95_E_3,1412,2.613,20.54,20.54,VAL
45966,95_E_3,1539.7,3.348,17.63,17.63,NOR
45966,95_E_3,2084.1,5.94,22.854,22.854,GLU
45966,95_E_3,2189.7,1.313,8.76,8.76,PHE
45967,13_W_3,1298.1,16.028,23.637,23.637,ALA
45967,13_W_3,1419.7,9.316,15.415,15.415,VAL
45967,13_W_3,1547.6,6.019,16.253,16.253,NOR
45967,13_W_3,2098.6,10.251,24.107,24.107,GLU
45967,13_W_3,2198.5,2.176,6.791,6.791,PHE
45968,13_W_3,1305.6,16.298,23.571,23.571,ALA
45968,13_W_3,1427.5,9.337,16.08,16.08,VAL
45968,13_W_3,1555.4,8.282,14.145,14.145,NOR
45968,13_W_3,2109.9,10.452,23.929,23.929,GLU
45968,13_W_3,2208.1,2.209,7.961,7.961,PHE
45969,13_W_3,1317.7,16.084,23.708,23.708,ALA
45969,13_W_3,1439.6,9.145,15.9,15.9,VAL
45969,13_W_3,1566.5,7.358,14.086,14.086,NOR
45969,13_W_3,2125.1,10.035,23.926,23.926,GLU
45969,13_W_3,2221,2.121,7.695,7.695,PHE
45970,5AA,1329.9,22.026,0.393,0.393,ALA
45970,5AA,1451.1,14.389,0.44,0.44,VAL
45970,5AA,1586.1,20.387,15.219,15.219,NOR
45970,5AA,2143.5,13.357,-1.497,-1.497,GLU
45970,5AA,2246.8,12.434,-2.735,-2.735,PHE
45971,13_W_2,1345.5,19.709,22.665,22.665,ALA
45971,13_W_2,1467.2,13.689,15.122,15.122,VAL
45971,13_W_2,1592.8,10.321,15.472,15.472,NOR
45971,13_W_2,2157.9,10.876,23.982,23.982,GLU
45971,13_W_2,2249.7,2.739,7.692,7.692,PHE
45972,13_W_2,1356.6,19.339,23.887,23.887,ALA
45972,13_W_2,1478.3,13.921,15.107,15.107,VAL
45972,13_W_2,1603.2,10.137,15.418,15.418,NOR
45972,13_W_2,2170.7,10.475,24.751,24.751,GLU
45972,13_W_2,2261.2,2.588,6.833,6.833,PHE
45973,13_W_2,1373.3,17.4,23.882,23.882,ALA
45973,13_W_2,1494.8,14.069,14.634,14.634,VAL
45973,13_W_2,1619.8,9.838,15.283,15.283,NOR
45973,13_W_2,2189.5,12.637,19.208,19.208,GLU
45973,13_W_2,2278.1,3.985,9.691,9.691,PHE
45974,5AA,1386.9,21.709,0.22,0.22,ALA
45974,5AA,1507.5,17.054,0.166,0.166,VAL
45974,5AA,1641.9,20.718,15.016,15.016,NOR
45974,5AA,2206.2,13.131,-1.242,-1.242,GLU
45974,5AA,2301.3,11.846,-2.602,-2.602,PHE
45975,5AA,1400.9,22.459,0.012,0.012,ALA
45975,5AA,1521.3,14.065,0.108,0.108,VAL
45975,5AA,1657,21.045,14.832,14.832,NOR
45975,5AA,2221,13.338,-1.611,-1.611,GLU
45975,5AA,2314.3,14.038,-3.112,-3.112,PHE
