Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak ID
46501,5AA,1281,35.305,-0.76,-0.76,ALA
46501,5AA,1401.1,21.823,-0.724,-0.724,VAL
46501,5AA,1539.7,38.077,14.396,14.396,NOR
46501,5AA,2078.7,20.763,-3.45,-3.45,GLU
46501,5AA,2191.8,19.416,-4.908,-4.908,PHE
46502,5AA,1281.8,33.069,-0.758,-0.758,ALA
46502,5AA,1401.8,20.592,-0.717,-0.717,VAL
46502,5AA,1540.5,37.031,14.666,14.666,NOR
46502,5AA,2079.3,20.446,-2.922,-2.922,GLU
46502,5AA,2192.6,18.97,-4.627,-4.627,PHE
46503,5AA,1281.2,31.752,-1.044,-1.044,ALA
46503,5AA,1401.3,19.661,-0.789,-0.789,VAL
46503,5AA,1539.9,35.361,14.629,14.629,NOR
46503,5AA,2078.7,20.247,-3.356,-3.356,GLU
46503,5AA,2191.8,18.525,-4.73,-4.73,PHE
46504,77_W_3,1277.2,15.994,21.826,21.826,ALA
46504,77_W_3,1399,8.047,20.287,20.287,VAL
46504,77_W_3,1525.5,4.55,12.597,12.597,NOR
46504,77_W_3,2068.3,10.773,21.817,21.817,GLU
46504,77_W_3,2177.2,3.783,1.594,1.594,PHE
46505,77_W_3,1276.8,14.855,21.444,21.444,ALA
46505,77_W_3,1398.8,7.855,19.853,19.853,VAL
46505,77_W_3,1525.3,4.298,12.392,12.392,NOR
46505,77_W_3,2067.8,10.157,21.721,21.721,GLU
46505,77_W_3,2176.9,3.541,1.644,1.644,PHE
46506,77_W_3,1276.6,14.194,21.423,21.423,ALA
46506,77_W_3,1398.4,7.784,18.955,18.955,VAL
46506,77_W_3,1524.9,4.172,12.664,12.664,NOR
46506,77_W_3,2067.4,9.844,21.394,21.394,GLU
46506,77_W_3,2176.3,3.306,2.233,2.233,PHE
46507,80_K_2,1272.4,5.891,23.021,23.021,ALA
46507,80_K_2,1395.7,3.86,14.802,14.802,VAL
46507,80_K_2,1524,3.974,11.564,11.564,NOR
46507,80_K_2,2075,14.216,23.17,23.17,GLU
46507,80_K_2,2177.4,3.124,4.406,4.406,PHE
46508,80_K_2,1272.8,5.379,23.317,23.317,ALA
46508,80_K_2,1396.1,5.464,13.962,13.962,VAL
46508,80_K_2,1524.4,1.422,14.727,14.727,NOR
46508,80_K_2,2075.4,13.06,22.93,22.93,GLU
46508,80_K_2,2177.8,2.696,2.694,2.694,PHE
46509,80_K_2,1272.6,4.799,23.089,23.089,ALA
46509,80_K_2,1395.7,5.106,10.517,10.517,VAL
46509,80_K_2,1524.2,1.194,23.109,23.109,NOR
46509,80_K_2,2075,12.128,23.684,23.684,GLU
46509,80_K_2,2177.6,2.398,4.513,4.513,PHE
46510,5AA,1282.8,24.372,-0.807,-0.807,ALA
46510,5AA,1403,13.983,-0.993,-0.993,VAL
46510,5AA,1541.6,26.139,15.223,15.223,NOR
46510,5AA,2081,15.686,-3.037,-3.037,GLU
46510,5AA,2194.1,14.039,-4.104,-4.104,PHE
46511,77_W_2,1283.9,16.569,23.177,23.177,ALA
46511,77_W_2,1375.4,71.105,5.861,5.861,VAL
46511,77_W_2,1528.2,8.152,13.354,13.354,NOR
46511,77_W_2,2077.3,12.548,22.989,22.989,GLU
