"","Year","MEI"
"1",1965,28.5983333333333
"2",1966,28.8358333333333
"3",1967,28.3075
"4",1968,28.4883333333333
"5",1969,29.0325
"6",1970,28.3741666666667
"7",1971,27.7258333333333
"8",1972,28.8575
"9",1973,28.0175
"10",1974,27.5608333333333
"11",1975,27.3125
"12",1976,28.1433333333333
"13",1977,28.8133333333333
"14",1978,28.4525
"15",1979,28.6166666666667
"16",1980,28.79
"17",1981,28.4358333333333
"18",1982,28.9283333333333
"19",1983,28.455
"20",1984,27.8291666666667
"21",1985,28.0683333333333
"22",1986,28.6691666666667
"23",1987,29.3216666666667
"24",1988,27.9008333333333
"25",1989,27.8116666666667
"26",1990,28.8916666666667
"27",1991,29.1316666666667
"28",1992,28.9991666666667
"29",1993,28.9691666666667
"30",1994,29.0391666666667
"31",1995,28.8441666666667
"32",1996,28.3666666666667
"33",1997,29.1483333333333
"34",1998,28.3283333333333
"35",1999,27.5525
"36",2000,27.7225
"37",2001,28.4033333333333
"38",2002,29.1
"39",2003,28.965
"40",2004,29.0216666666667
"41",2005,28.7975
"42",2006,28.6983333333333
"43",2007,28.3308333333333
"44",2008,27.7666666666667
"45",2009,28.8816666666667
"46",2010,28.2558333333333
"47",2011,27.8016666666667
"48",2012,28.4091666666667
"49",2013,28.495
"50",2014,28.9133333333333
"51",2015,29.6233333333333
"52",2016,28.9733333333333
"53",2017,28.59
"54",2018,28.8933333333333
"55",2019,29.2291666666667
"56",2020,28.6658333333333
"57",2021,28.1541666666667
"58",2022,27.9616666666667
