"","Year","avg"
"1",1965,-0.8372127025
"2",1966,-0.956356190833333
"3",1967,-0.699724794416667
"4",1968,-0.850601764166667
"5",1969,-0.387628517916667
"6",1970,0.0610431528333333
"7",1971,0.381984275666667
"8",1972,-0.659303724166667
"9",1973,0.126585558666667
"10",1974,-0.00931021658333334
"11",1975,0.798500531666667
"12",1976,1.86321133333333
"13",1977,1.2492703325
"14",1978,0.504466625833333
"15",1979,-0.737188573333333
"16",1980,-0.749107274166667
"17",1981,-0.22184056725
"18",1982,-0.686691393333333
"19",1983,-0.0920646926666667
"20",1984,0.620750028333333
"21",1985,-0.39390105125
"22",1986,-0.732847285
"23",1987,0.429174734166667
"24",1988,1.32363676416667
"25",1989,0.6122406175
"26",1990,-0.201546121666667
"27",1991,-0.498914717666667
"28",1992,-1.0949188725
"29",1993,-1.9019926225
"30",1994,-1.211598785
"31",1995,-1.03920855916667
"32",1996,-0.972836595
"33",1997,-0.657690609166667
"34",1998,0.544553275166667
"35",1999,1.51578051666667
"36",2000,1.8858613
"37",2001,2.08069336666667
"38",2002,1.4735939275
"39",2003,0.9585072025
"40",2004,0.209460254416667
"41",2005,-1.46912368333333
"42",2006,-0.5499576175
"43",2007,0.579479326
"44",2008,1.4928544475
"45",2009,0.640589337166667
"46",2010,1.28958364416667
"47",2011,0.78964711625
"48",2012,1.42273598333333
"49",2013,0.363239015833333
"50",2014,-0.196439964166667
"51",2015,-1.38077478583333
"52",2016,-0.1603816025
"53",2017,-0.859152878333333
"54",2018,-1.9643187
"55",2019,-2.27909923
"56",2020,-1.84292595833333
"57",2021,-0.912644081166667
"58",2022,-1.30550730833333
