"","year","total_return","BBsumT","GoAwinT","AIwinT","AIsumT","BSsumT","LakeTemp","pink_tot_num","chum_tot_num","sel_diff"
"13",1960,NA,9.487,4.257,2.6613,9.1027,8.3313,NA,125.063,66.6642,NA
"14",1961,NA,9.205,4.1307,2.576,8.985,8.2007,NA,182.1237,55.6349,NA
"15",1962,NA,9.8873,5.007,3.0623,9.3723,8.453,NA,162.8591,59.7284,NA
"16",1963,8.001,10.0537,5.138,3.2047,9.4057,8.4407,9.65,224.2376,56.9063,-1.6594
"17",1964,11.4404,9.5987,4.6993,2.3277,8.5397,7.6143,8.76,146.2015,62.4737,-13.1883
"18",1965,60.8746,9.444,5.0227,2.3207,8.759,7.8283,9.09,205.1036,54.1968,-9.7862
"19",1966,20.0331,9.483,4.7457,2.71,8.9853,8.2543,8.19,161.1151,65.7664,-7.5413
"20",1967,11.4838,9.9467,4.7557,2.805,9.6763,8.87,10.6,175.2448,53.3692,-7.2198
"21",1968,9.4664,10.025,4.9793,2.6267,9.2307,8.4373,11.32,172.0482,52.5663,-8.0406
"22",1969,21.9406,9.7417,4.5763,2.963,9.4897,8.716,8.86,220.7793,37.7598,-5.1132
"23",1970,45.0791,8.909,4.4693,2.9893,8.695,7.9243,9.09,132.2029,61.5971,-9.6936
"24",1971,18.5024,8.7057,4.759,1.7233,8.0393,7.2293,6.97,202.788,56.7268,-6.1822
"25",1972,7.2,9.2847,4.5413,2.1263,8.586,7.7533,7.53,126.2276,67.0538,-6.9325
"26",1973,3.5467,9.0033,4.4647,2.241,8.478,7.813,8.28,158.6269,64.4654,-3.2966
"27",1974,11.5201,10.19,4.86,1.9577,9.192,8.373,11.14,133.9361,63.3528,-1.193
"28",1975,25.901,9.1583,4.4857,1.6913,8.4487,7.739,8.86,228.2673,65.0995,-4.9001
"29",1976,12.8763,9.0867,4.3467,0.809,8.2443,7.4893,8.39,199.008,67.6878,-2.1982
"30",1977,10.7328,10.2707,4.5833,3.302,9.92,9.0783,9.57,279.1204,60.2937,-7.7552
"31",1978,21.2164,9.7237,4.5593,3.4493,9.0803,8.4187,10.76,234.0968,61.7899,-12.282
"32",1979,41.4829,10.6217,4.8867,3.4843,9.7133,8.9067,11.41,319.9024,63.7916,-8.1643
"33",1980,67.0596,9.592,4.6727,2.7867,9.2437,8.453,9.2,244.4852,70.9621,-3.6626
"34",1981,37.267,9.855,4.7073,3.3257,9.7077,9.0007,11.31,297.8838,79.9317,0.1174
"35",1982,25.1352,8.1497,4.8143,3.1123,8.4013,7.595,7.82,223.2043,77.904,-4.3876
"36",1983,48.3011,10.319,4.6817,2.5533,9.673,8.959,9.08,431.008,80.1533,-12.7898
"37",1984,42.9979,10.0793,4.811,2.6037,9.8217,8.7113,11.34,308.7732,91.5535,-14.0922
"38",1985,38.9208,8.9237,4.9057,3.4513,8.8097,8.0217,7.79,326.2901,107.1434,-7.1173
"39",1986,24.7592,9.4723,4.9513,2.8903,9.2493,8.193,8.45,261.7616,108.4175,-5.4262
"40",1987,28.6558,10.331,4.6667,3.0557,9.363,8.9013,9.33,270.331,93.3236,-11.7952
