"","Year","Total","Pink","Pink_lag1"
"1",1960,NA,125.063,NA
"2",1961,NA,182.1237,125.063
"3",1962,NA,162.8591,182.1237
"4",1963,8.001,224.2376,162.8591
"5",1964,11.4404,146.2015,224.2376
"6",1965,60.8746,205.1036,146.2015
"7",1966,20.0331,161.1151,205.1036
"8",1967,11.4838,175.2448,161.1151
"9",1968,9.4664,172.0482,175.2448
"10",1969,21.9406,220.7793,172.0482
"11",1970,45.0791,132.2029,220.7793
"12",1971,18.5024,202.788,132.2029
"13",1972,7.2,126.2276,202.788
"14",1973,3.5467,158.6269,126.2276
"15",1974,11.5201,133.9361,158.6269
"16",1975,25.901,228.2673,133.9361
"17",1976,12.8763,199.008,228.2673
"18",1977,10.7328,279.1204,199.008
"19",1978,21.2164,234.0968,279.1204
"20",1979,41.4829,319.9024,234.0968
"21",1980,67.0596,244.4852,319.9024
"22",1981,37.267,297.8838,244.4852
"23",1982,25.1352,223.2043,297.8838
"24",1983,48.3011,431.008,223.2043
"25",1984,42.9979,308.7732,431.008
"26",1985,38.9208,326.2901,308.7732
"27",1986,24.7592,261.7616,326.2901
"28",1987,28.6558,270.331,261.7616
"29",1988,24.3317,212.1579,270.331
"30",1989,46.0804,364.3859,212.1579
"31",1990,49.6223,303.0356,364.3859
"32",1991,43.8327,486.0193,303.0356
"33",1992,47.8386,277.2342,486.0193
"34",1993,55.3037,398.5925,277.2342
"35",1994,52.2254,453.7487,398.5925
"36",1995,63.0588,434.8676,453.7487
"37",1996,38.4191,424.2513,434.8676
"38",1997,20.7279,401.9696,424.2513
"39",1998,20.0954,443.5716,401.9696
"40",1999,41.918,501.074,443.5716
"41",2000,30.1907,381.8193,501.074
"42",2001,22.8181,401.8196,381.8193
"43",2002,17.8536,382.8857,401.8196
"44",2003,26.8118,466.3283,382.8857
"45",2004,44.798,361.2706,466.3283
"46",2005,40.2869,594.4662,361.2706
"47",2006,43.7993,344.0284,594.4662
"48",2007,46.2753,548.774,344.0284
"49",2008,42.0867,328.1717,548.774
"50",2009,41.5577,657.1628,328.1717
"51",2010,41.231,407.2143,657.1628
"52",2011,31.7967,653.7625,407.2143
"53",2012,31.7316,435.5748,653.7625
"54",2013,25.6673,577.8224,435.5748
"55",2014,41.4187,355.8471,577.8224
"56",2015,59.8632,549.4209,355.8471
"57",2016,52.8038,432,549.4209
"58",2017,58.1615,513,432
"59",2018,63.7046,701,513
"60",2019,56.948,639,701
"61",2020,59.3483,315,639
"421",2021,71.2,797,315
"431",2022,83.28,NA,797
