"","year","mean_SaA"
"1",1963,519
"2",1964,497
"3",1965,485
"4",1966,503
"5",1967,522
"6",1968,506
"7",1969,514
"8",1970,495
"9",1971,517
"10",1972,510
"11",1973,515
"12",1974,518
"13",1975,506
"14",1976,513
"15",1977,523
"16",1978,504
"17",1979,523
"18",1980,505
"19",1981,526
"20",1982,504
"21",1983,510
"22",1984,497
"23",1985,512
"24",1986,516
"25",1987,510
"26",1988,511
"27",1989,508
"28",1990,486
"29",1991,492
"30",1992,494
"31",1993,517
"32",1994,492
"33",1995,505
"34",1996,502
"35",1997,502
"36",1998,495
"37",1999,500
"38",2000,501
"39",2001,505
"40",2002,499
"41",2003,505
"42",2004,505
"43",2005,505
"44",2006,481
"45",2007,495
"46",2008,486
"47",2009,502
"48",2010,488
"49",2011,500
"50",2012,498
"51",2013,497
"52",2014,490
"53",2015,488
"54",2016,489
"55",2017,502
"56",2018,470
"57",2019,475
"58",2020,466
