Year,Summer_SST_lag1,Pink_Salmon_lag1,Total_Run,2-ocean_mass,3-ocean_mass,,
1980,9.868,319.9,60.91,4.94,6.64,,
1981,8.947666667,244.49,33.21,5.34,6.97,,
1982,9.620333333,297.88,24.69,5.05,6.92,,
1983,7.482,223.2,48.10,5.22,6.61,,
1984,9.95,431.01,42.60,4.87,6.72,,
1985,9.657,308.77,38.68,5.07,6.81,,
1986,7.993,326.29,24.29,5.31,6.75,,
1987,8.398666667,261.76,28.37,5.03,6.94,,
1988,9.587333333,270.33,23.99,5.07,7.14,,
1989,10.05033333,212.16,45.73,4.94,6.77,,
1990,9.360333333,364.39,49.30,4.83,6.66,,
1991,9.903333333,303.04,43.35,4.67,6.50,,
1992,9.394,486.02,47.41,4.59,6.13,,
1993,8.932333333,277.23,54.70,5.09,6.70,,
1994,9.965333333,398.59,51.77,4.63,6.30,,
1995,9.234,453.75,62.69,4.80,6.06,,
1996,9.216333333,434.87,37.89,4.92,6.36,,
1997,9.166333333,424.25,20.35,4.89,6.51,,
1998,10.87466667,401.97,19.65,4.45,5.87,,
1999,9.238,443.57,41.17,4.67,6.10,,
2000,8.078333333,501.07,29.46,4.98,6.02,,
2001,8.657333333,381.82,23.46,4.87,6.69,,
2002,9.132333333,401.82,17.82,4.80,7.20,,
2003,9.701,382.89,26.76,5.10,7.50,,
2004,10.07166667,466.33,44.70,5.10,7.10,,
2005,11.10733333,361.27,40.30,5.06,7.00,,
2006,11.07966667,594.47,43.80,4.50,6.20,,
2007,8.932333333,344.03,46.00,4.94,6.86,,
2008,9.489666667,548.77,42.15,4.92,6.51,,
2009,8.128666667,328.17,40.72,4.98,6.62,,
2010,9.028,657.16,41.01,4.68,6.66,,
2011,7.931333333,407.21,31.83,4.72,6.65,,
2012,8.144,653.76,31.52,4.85,6.68,,
2013,7.945333333,435.57,25.37,4.98,6.94,,
2014,9.861,577.82,41.47,5.12,6.90,,
2015,10.95033333,355.85,59.16,5.10,5.93,,
2016,11.11333333,549.42,52.40,4.68,6.13,,
2017,12.237,432,59.54,4.80,6.13,,
2018,10.45766667,513,63.74,4.01,5.73,,
2019,9.901333333,701,56.81,4.24,5.91,,
2020,12.21233333,639,59.44,3.99,5.46,,
2021,10.11266667,315,71.20,4.10,5.62,,
2022,8.904333333,797,83.28,4.12,5.57,,
2023,12.48367,299,54.63,,,,
2024,,807,,,,,
