Year,adj,ID1,Rep
1965,6.135803977,65_W_2,
1965,4.185056534,65_W_2,
1965,2.520309091,65_W_2,
1965,,,
1965,,,
1965,,,
1966,,,
1966,,,
1966,,,
1966,,,
1966,,,
1966,,,
1967,,,
1967,,,
1967,,,
1967,,,
1967,,,
1967,,,
1968,3.764231818,68_W_2,
1968,2.968010511,68_W_2,
1968,3.302789205,68_W_2,
1968,,,
1968,,,
1968,,,
1969,,,
1969,,,
1969,,,
1969,,,
1969,,,
1969,,,
1970,,,
1970,,,
1970,,,
1970,,,
1970,,,
1970,,,
1971,7.026618466,71_W_2,
1971,6.528198864,71_W_2,
1971,6.485779261,71_W_2,
1971,,,
1971,,,
1971,,,
1972,,,
1972,,,
1972,,,
1972,,,
1972,,,
1972,,,
1973,,,
1973,,,
1973,,,
1973,,,
1973,,,
1973,,,
1974,5.533440625,74_W_2,R
1974,3.9954375,74_W_2,R
1974,4.002434375,74_W_2,R
1974,4.201042614,74_W_2,
1974,4.47324858,74_W_2,
1974,4.295454545,74_W_2,
1975,,,
1975,,,
1975,,,
1975,,,
1975,,,
1975,,,
1976,,,
1976,,,
1976,,,
1976,,,
1976,,,
1976,,,
1977,4.455184659,77_W_2,
1977,4.445477273,77_W_2,
1977,5.482769886,77_W_2,
1977,,,
1977,,,
1977,,,
1978,,,
1978,,,
1978,,,
1978,,,
1978,,,
1978,,,
1979,,,
1979,,,
1979,,,
1979,,,
1979,,,
1979,,,
1980,5.024735795,80_W_2,
1980,,,
1980,,,
1980,,,
1980,,,
1980,,,
1981,,,
1981,,,
1981,,,
1981,,,
1981,,,
1981,,,
1982,,,
1982,,,
1982,,,
1982,,,
1982,,,
1982,,,
1983,,,
1983,,,
1983,,,
1983,,,
1983,,,
1983,,,
1984,7.24524375,84_W_2,
1984,7.566366761,84_W_2,
1984,5.175489773,84_W_2,
1984,,,
1984,,,
1984,,,
1985,,,
1985,,,
1985,,,
1985,,,
1985,,,
1985,,,
1986,3.380454345,86_W_2,
1986,3.339616716,86_W_2,
1986,3.700779087,86_W_2,
1986,,,
1986,,,
1986,,,
1987,,,
1987,,,
1987,,,
1987,,,
1987,,,
1987,,,
1988,,,
1988,,,
1988,,,
1988,,,
1988,,,
1988,,,
1989,3.22975,89_W_2,
1989,4.182015625,89_W_2,
1989,2.77028125,89_W_2,
1989,2.201047159,89_W_2,R
1989,1.224430114,89_W_2,R
1989,,,
1990,,,
1990,,,
1990,,,
1990,,,
1990,,,
1990,,,
1991,,,
1991,,,
1991,,,
1991,,,
1991,,,
1991,,,
1992,5.77376875,92_W_2,
1992,7.915331534,92_W_2,
1992,6.764894318,92_W_2,
1992,,,
1992,,,
1992,,,
1993,,,
1993,,,
1993,,,
1993,,,
1993,,,
1993,,,
1994,,,
1994,,,
1994,,,
1994,,,
1994,,,
1994,,,
1995,3.35840625,95_W_2,
1995,4.634403125,95_W_2,
1995,,,
1995,,,
1995,,,
1995,,,
1996,,,
1996,,,
1996,,,
1996,,,
1996,,,
1996,,,
1997,,,
1997,,,
1997,,,
1997,,,
1997,,,
1997,,,
1998,6.6016,98_W_2,
1998,7.235381818,98_W_2,
1998,6.635163636,98_W_2,
1998,,,
1998,,,
1998,,,
1999,,,
1999,,,
1999,,,
1999,,,
1999,,,
1999,,,
2000,,,
2000,,,
2000,,,
2000,,,
2000,,,
2000,,,
2001,2.218590943,01_W_2,
2001,3.520753314,01_W_2,
2001,3.671915685,01_W_2,
2001,,,
2001,,,
2001,,,
2002,,,
2002,,,
2002,,,
2002,,,
2002,,,
2002,,,
2003,,,
2003,,,
2003,,,
2003,,,
2003,,,
2003,,,
2004,3.583781818,04_W_2,
2004,3.039563636,04_W_2,
2004,3.543345455,04_W_2,
2004,,,
2004,,,
2004,,,
2005,,,
2005,,,
2005,,,
2005,,,
2005,,,
2005,,,
2006,,,
2006,,,
2006,,,
2006,,,
2006,,,
2006,,,
2007,2.9777875,07_W_2,
2007,3.083810795,07_W_2,
2007,3.916834091,07_W_2,
2007,,,
2007,,,
2007,,,
2008,,,
2008,,,
2008,,,
2008,,,
2008,,,
2008,,,
2009,,,
2009,,,
2009,,,
2009,,,
2009,,,
2009,,,
2010,3.459886364,10_W_2,
2010,3.933545455,10_W_2,
2010,6.613204545,10_W_2,
2010,4.494168182,10_W_2,R
2010,5.196914489,10_W_2,R
2010,3.650660795,10_W_2,R
2011,,,
2011,,,
2011,,,
2011,,,
2011,,,
2011,,,
2012,,,
2012,,,
2012,,,
2012,,,
2012,,,
2012,,,
2013,5.763829545,13_W_2,
2013,4.792905682,13_W_2,
2013,7.538981818,13_W_2,
2013,3.055624432,13_W_2,a
2013,2.998647727,13_W_2,a
2013,2.569671023,13_W_2,a
2012,,,
2012,,,
2012,,,
2012,,,
2012,,,
2012,,,
2015,,,
2015,,,
2015,,,
2015,,,
2015,,,
2015,,,
2016,2.51913125,16_W_2,
2016,3.640536648,16_W_2,
2016,5.286942045,16_W_2,
2016,,,
2016,,,
2016,,,
2017,,,
2017,,,
2017,,,
2017,,,
2017,,,
2017,,,
2018,,,
2018,,,
2018,,,
2018,,,
2018,,,
2018,,,
2019,5.209548011,19_W_2,
2019,5.614517045,19_W_2,
2019,5.48948608,19_W_2,
2019,,,
2019,,,
2019,,,
2020,,,
2020,,,
2020,,,
2020,,,
2020,,,
2020,,,
2021,,,
2021,,,
2021,,,
2021,,,
2021,,,
2021,,,
2022,4.612540909,22_W_2,
2022,5.840816193,22_W_2,
2022,3.888091477,22_W_2,
2022,,,
2022,,,
2022,,,
