"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"Inj1",6.13580397727213,NA,NA,3.76423181818157,NA,NA,7.02661846591008,NA,NA,4.20104261363638,NA,NA,4.45518465909082,NA,NA,5.02473579545455,NA,NA,NA,7.24524374999971,NA,3.38045434462383,NA,NA,3.22974999999899,NA,NA,5.77376874999934,NA,NA,3.35840624999995,NA,NA,6.60159999999896,NA,NA,2.21859094256244,NA,NA,3.58378181817914,NA,NA,2.97778749999978,NA,NA,3.45988636363554,NA,NA,5.76382954545447,NA,NA,2.51913124999944,NA,NA,5.20954801136381,NA,NA,4.61254090909092
"Inj2",4.18505653409014,NA,NA,2.96801051136336,NA,NA,6.52819886363712,NA,NA,4.47324857954495,NA,NA,4.44547727272717,NA,NA,NA,NA,NA,NA,7.56636676136354,NA,3.33961671575824,NA,NA,4.18201562499903,NA,NA,7.91533153408987,NA,NA,4.63440312499987,NA,NA,7.23538181818094,NA,NA,3.52075331369639,NA,NA,3.03956363636112,NA,NA,3.0838107954543,NA,NA,3.93354545454474,NA,NA,4.79290568181883,NA,NA,3.64053664772641,NA,NA,5.61451704545406,NA,NA,5.84081619318182
"Inj3",2.52030909090861,NA,NA,3.30278920454538,NA,NA,6.48577926136507,NA,NA,4.29545454545442,NA,NA,5.48276988636364,NA,NA,NA,NA,NA,NA,5.1754897727269,NA,3.7007790868922,NA,NA,2.77028124999906,NA,NA,6.76489431818131,NA,NA,NA,NA,NA,6.63516363636202,NA,NA,3.67191568483035,NA,NA,3.5433454545431,NA,NA,3.91683409090893,NA,NA,6.61320454545348,NA,NA,7.53898181818228,NA,NA,5.28694204545384,NA,NA,5.48948607954522,NA,NA,3.88809147727272
"Inj4",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53344062499989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20104715909056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49416818181868,NA,NA,3.05562443181803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj5",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99543749999992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2244301136364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19691448863681,NA,NA,2.99864772727255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj6",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00243437499994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65066079545494,NA,NA,2.56967102272707,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inj1",5.07156789772717,NA,NA,1.95802585227175,NA,NA,3.31058181818108,NA,NA,2.8012187499994,NA,NA,4.62200284090934,NA,NA,3.95201420454542,NA,NA,3.95623295454539,NA,NA,NA,NA,NA,5.92860937499922,NA,NA,NA,5.9158747159087,NA,3.81676363636341,NA,NA,6.24472727272598,NA,NA,5.26777075098796,NA,NA,8.50152272727188,NA,NA,3.65684374999941,NA,NA,2.22913011363534,NA,NA,6.3081363636358,NA,NA,4.0045863636361,NA,NA,5.67542414772754,NA,NA,4.78707727272562
"Inj2",3.78134659090896,NA,NA,1.89127840908976,NA,NA,3.19697613636245,NA,NA,4.41342471590887,NA,NA,4.21258323863729,NA,NA,2.22630681818177,NA,NA,NA,NA,NA,NA,NA,NA,7.53187499999926,NA,NA,NA,6.58699772727252,NA,3.34083977272686,NA,NA,7.73550909090796,NA,NA,6.66791897233231,NA,NA,8.92118181818107,NA,NA,8.35943039772686,NA,NA,3.6271704545447,NA,NA,6.238795454545,NA,NA,3.9205008522725,NA,NA,5.2243931818178,NA,NA,5.74348267045305
"Inj3",3.89412528409075,NA,NA,1.71853096590823,NA,NA,3.25837045454473,NA,NA,3.47963068181744,NA,NA,4.63516363636434,NA,NA,4.03159943181812,NA,NA,NA,NA,NA,NA,NA,NA,7.91614062499929,NA,NA,NA,6.84912073863589,NA,2.87091590909031,NA,NA,6.93929090908994,NA,NA,7.12906719367575,NA,NA,8.72084090909027,NA,NA,NA,NA,NA,3.99721079545362,NA,NA,5.2304545454542,NA,NA,3.36341534090885,NA,NA,4.81236221590896,NA,NA,4.06788806818047
"Inj4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81544999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
