"","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",1,44821,"5AA",1401.1,22.884,-0.465,-0.465,"VAL",-0.89515,-0.759654261364273
"2",2,44821,"5AA",1539.3,39.093,15.124,15.124,"NOR",14.69385,14.5107247159087
"3",3,44821,"5AA",2076.6,20.667,-2.283,-2.283,"GLU",-2.71315,-2.57613494318234
"4",4,44821,"5AA",2190.7,19.721,-4.021,-4.021,"PHE",-4.45115,-4.62026619318226
"5",5,44822,"5AA",1281.4,35.283,-0.253,-0.253,"ALA",-0.68315,-1.52693196405565
"6",6,44822,"5AA",1402,23.051,-0.146,-0.146,"VAL",-0.57615,-0.490225568182325
"7",7,44822,"5AA",1540.1,39.552,15.32,15.32,"NOR",14.88985,14.6494482954543
"8",8,44822,"5AA",2077.3,21.165,-2.885,-2.885,"GLU",-3.31515,-3.2473096590913
"9",9,44822,"5AA",2191.4,18.998,-4.552,-4.552,"PHE",-4.98215,-5.24429715909109
"10",10,44823,"5AA",1281.2,34.67,-0.38,-0.38,"ALA",-0.81015,-1.70541463414528
"11",11,44823,"5AA",1401.8,22.542,-0.374,-0.374,"VAL",-0.80415,-0.767796875000377
"12",12,44823,"5AA",1540.1,38.629,15.067,15.067,"NOR",14.63685,14.3391718749999
"13",13,44823,"5AA",2077,20.608,-2.979,-2.979,"GLU",-3.40915,-3.41048437500071
"14",14,44823,"5AA",2190.9,18.066,-4.4,-4.4,"PHE",-4.83015,-5.18532812500084
"15",15,44827,"19_W_2",1269.3,5.929,25.026,25.026,"ALA",24.59585,23.4946546854949
"16",16,44827,"19_W_2",1391.9,1.908,22.264,22.264,"VAL",21.83385,21.671917897727
"17",17,44827,"19_W_2",1522.6,3.105,20.088,20.088,"NOR",19.65785,19.1310661931814
"18",18,44827,"19_W_2",2057.2,6.329,24.418,24.418,"GLU",23.98785,23.7098167613635
"19",19,44827,"19_W_2",2168.8,1.348,6.367,6.367,"PHE",5.93685,5.20954801136381
"20",20,44828,"19_W_2",1269.3,5.564,25.643,25.643,"ALA",25.21285,24.0601720154052
"21",21,44828,"19_W_2",1391.9,1.891,20.167,20.167,"VAL",19.73685,19.5253465909089
"22",22,44828,"19_W_2",1522.8,2.941,23.121,23.121,"NOR",22.69085,22.106789772727
"23",23,44828,"19_W_2",2057.4,6.006,24.61,24.61,"GLU",24.17985,23.8326420454541
"24",24,44828,"19_W_2",2169,1.258,6.865,6.865,"PHE",6.43485,5.61451704545406
"25",25,44829,"19_W_2",1269.7,5.327,24.991,24.991,"ALA",24.56085,23.3566893453151
"26",26,44829,"19_W_2",1392.4,1.07,24.651,24.651,"VAL",24.22085,23.9597752840904
"27",27,44829,"19_W_2",1523.2,2.884,22.779,22.779,"NOR",22.34885,21.7075133522726
"28",28,44829,"19_W_2",2057.6,5.886,25.049,25.049,"GLU",24.61885,24.2024673295451
"29",29,44829,"19_W_2",2169.2,1.205,6.833,6.833,"PHE",6.40285,5.48948607954522
"30",30,44830,"5AA",1282,32.636,0.003,0.003,"ALA",-0.42715,-1.68279332477448
"31",31,44830,"5AA",1402.6,20.948,0.052,0.052,"VAL",-0.37815,-0.688796022727651
"32",32,44830,"5AA",1540.7,37.032,15.531,15.531,"NOR",15.10085,14.4022369318182
"33",33,44830,"5AA",2078.1,18.876,-2.171,-2.171,"GLU",-2.60115,-3.08670738636386
"34",34,44830,"5AA",2192,17.973,-3.753,-3.753,"PHE",-4.18315,-5.18954488636362
"35",35,44831,"19_K_2",1272.8,9.072,24.189,24.189,"ALA",23.75885,22.4517240051354
"36",36,44831,"19_K_2",1394.7,3.552,17.198,17.198,"VAL",16.76785,16.4076326704543
"37",37,44831,"19_K_2",1523.8,4.285,16.074,16.074,"NOR",15.64385,14.8879605113634
"38",38,44831,"19_K_2",2058.9,6.034,24.362,24.362,"GLU",23.93185,23.3771178977272
"39",39,44831,"19_K_2",2170.7,1.533,7.205,7.205,"PHE",6.77485,5.67542414772754
"40",40,44832,"19_K_2",1273.4,8.842,24.29,24.29,"ALA",23.85985,22.5012413350458
"41",41,44832,"19_K_2",1395.3,3.302,17.948,17.948,"VAL",17.51785,17.1080613636362
"42",42,44832,"19_K_2",1524.4,4.165,16.457,16.457,"NOR",16.02685,15.213684090909
"43",43,44832,"19_K_2",2059.3,5.708,25.295,25.295,"GLU",24.86485,24.2409431818182
"44",44,44832,"19_K_2",2171.3,1.435,6.847,6.847,"PHE",6.41685,5.2243931818178
"45",45,44833,"19_K_2",1273.9,8.716,24.268,24.268,"ALA",23.83785,22.4277586649557
"46",46,44833,"19_K_2",1395.9,3.598,16.335,16.335,"VAL",15.90485,15.4454900568182
"47",47,44833,"19_K_2",1525.1,4.055,16.989,16.989,"NOR",16.55885,15.6884076704546
"48",48,44833,"19_K_2",2061.2,5.785,25.224,25.224,"GLU",24.79385,24.1007684659093
"49",49,44833,"19_K_2",2172.1,1.384,6.528,6.528,"PHE",6.09785,4.81236221590896
"50",50,44834,"19_K_3",1275.9,10.301,24.69,24.69,"ALA",24.25985,22.7982759948661
"51",51,44834,"19_K_3",1398.2,4.535,17.038,17.038,"VAL",16.60785,16.0989187499997
"52",52,44834,"19_K_3",1525.9,5.038,13.614,13.614,"NOR",13.18385,12.2561312500002
"53",53,44834,"19_K_3",2065.1,6.991,25.549,25.549,"GLU",25.11885,24.3565937499999
"54",54,44834,"19_K_3",2174.2,1.593,6.813,6.813,"PHE",6.38285,5.00433125000012
"55",55,44835,"19_K_3",1276.6,9.506,24.604,24.604,"ALA",24.17385,22.660793324776
"56",56,44835,"19_K_3",1398.8,4.504,15.781,15.781,"VAL",15.35085,14.7923474431816
"57",57,44835,"19_K_3",1526.7,4.822,12.975,12.975,"NOR",12.54485,11.5598548295453
"58",58,44835,"19_K_3",2066,6.406,25.292,25.292,"GLU",24.86185,24.0304190340909
"59",59,44835,"19_K_3",2175.3,1.431,6.451,6.451,"PHE",6.02085,4.54930028409128
"60",60,44836,"19_K_3",1277.6,9.159,24.728,24.728,"ALA",24.29785,22.7333106546859
"61",61,44836,"19_K_3",1400.1,5.636,15.784,15.784,"VAL",15.35385,14.7457761363636
"62",62,44836,"19_K_3",1528,3.665,16.749,16.749,"NOR",16.31885,15.2765784090909
"63",63,44836,"19_K_3",2068.3,6.428,26.243,26.243,"GLU",25.81285,24.9122443181819
"64",64,44836,"19_K_3",2176.7,1.396,6.013,6.013,"PHE",5.58285,4.01826931818244
"65",65,44837,"5AA",1289.7,28.902,0.395,0.395,"ALA",-0.03515,-1.65117201540369
"66",66,44837,"5AA",1410.1,21.676,0.292,0.292,"VAL",-0.13815,-0.795795170454471
