"","X","Sample.ID","Year","System","Age","ALA.mean","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.sd","VAL.sd","NOR.sd","GLU.sd","PHE.sd"
"1","1","01_E_2","2001","Egegik","2","23.4434185606055","16.1348238636353","14.5500284090909","23.1676818181787","5.3952424242404","0.485001008160168","0.0996041338897355","1.81005858066519","0.0656280853266025","0.710890465306798"
"4","4","01_K_2","2001","Kvichak","2","21.9963610013172","13.6333840579708","13.3995210803689","21.0970204216069","6.35491897233201","0.366000484505813","0.980990304474644","2.30502612567768","0.513273557307253","0.969320825057781"
"5","5","01_K_3","2001","Kvichak","3","23.9444992424238","15.1787371212112","15.0746553030303","22.2803939393915","6.28936969696833","0.392574358281195","0.631147452789019","1.81471045059862","0.49423704223447","0.422905683693658"
"6","6","01_W_2","2001","Wood","2","21.9142012763869","18.2147687776142","14.2687790868933","21.969448699067","3.13708664702973","0.450381751646661","0.792476724473309","0.548268833424747","0.453132388207698","0.799023331921761"
"7","7","01_W_3","2001","Wood","3","22.8409130434779","14.07934057971","11.4491956521739","21.9353405797098","6.47999275362308","0.198978988654368","1.12926064657721","2.36210636890626","0.289453508467023","0.756098454627084"
"10","10","04_E_3","2004","Egegik","3","22.2694624505924","15.7860144927534","14.6195428194993","20.9539841897228","2.40971442687726","0.30015800447305","1.62604480768628","0.645591763145755","0.247254941627598","0.429109007863171"
"11","11","04_K_2","2004","Kvichak","2","24.426306060606","16.796790151515","15.3879893939398","23.2084568181811","8.71451515151441","0.263247133357603","0.782262785980865","1.46138470931343","0.231138234908115","0.209901047049231"
"12","12","04_K_3","2004","Kvichak","3","23.5227931488797","19.2227318840574","13.1392154150197","24.0979743082997","3.57984387351744","0.0728305393689928","1.41346945925801","0.475726349167705","0.242634837280176","1.23142724571728"
"13","13","04_W_2","2004","Wood","2","22.9252747159084","18.82105558712","13.0665582386364","22.5447310606027","3.38889696969445","0.297054345316903","1.68180260639526","0.824426921369287","0.249182192944829","0.303206378906117"
"14","14","04_W_3","2004","Wood","3","23.3633702651513","16.4150925189393","18.4967127840913","22.9270437499998","7.01444365530275","0.397071172785457","2.4579488703364","0.204177827913103","0.457830968441479","0.741940347079948"
"15","15","07_E_2","2007","Egegik","2","22.1427538825758","17.1741471590908","16.0812155303036","20.057321874999","6.31811950757527","0.367464865004026","0.090555139732297","0.667752733337664","0.0162148423759428","0.59593228839099"
"16","16","07_E_3","2007","Egegik","3","21.9447511045656","23.4187550319097","13.687078055966","22.1491703485514","2.34677049582678","0.0843751271338785","1.65873880838224","0.175179105088324","0.30151629250318","0.23857181677546"
"17","17","07_K_2","2007","Kvichak","2","22.3885498106057","18.5802973484843","17.2908322916667","20.608389772727","10.4372617613633","0.658749310386296","3.99242735406556","0.763179943883221","1.18481293207588","4.46915319352629"
"18","18","07_W_2","2007","Wood","2","21.5692862689395","22.4653713068185","15.8226317234859","19.8380604166666","3.32614412878767","0.251329493564692","3.45285755518303","0.674840798483137","0.387560282323783","0.514291948515501"
"19","19","10_E_2","2010","Egegik","2","22.4903418560601","22.6406059659088","15.512031155304","21.733722916666","4.10489725378729","0.256703488542656","3.54492051359016","0.719932568847782","0.311818082376944","0.317718359397104"
"20","20","10_E_3","2010","Egegik","3","22.1677765151511","15.3910435606058","14.858153409092","23.0764583333328","2.21999053030254","0.0572238607093351","0.728016865973695","0.399465011071606","0.309325603527031","0.305462417138901"
"21","21","10_K_2","2010","Kvichak","2","21.941066287879","22.4814962121213","13.5185984848496","21.4997083333322","3.28450378787789","0.169177262202903","3.1946308036734","0.261209556100449","0.350319123171746","0.932519521344276"
"24","24","13_E_2","2013","Egegik","2","20.1877636363629","21.904619886363","13.5952185606062","19.3619712121198","1.5790836174222","0.539331657418914","1.9747284297683","0.896100341526886","0.425305811082642","0.554908588375713"
"25","25","13_E_3","2013","Egegik","3","21.7785757575752","19.0993674242418","15.2190984848486","21.4746363636351","3.35174810605876","0.634036683073064","0.312569324326306","0.635051861191503","0.343051983296772","1.13339876925406"
"26","26","13_K_2","2013","Kvichak","2","20.9369306818181","15.0271298295453","16.5696744318183","19.4765881628783","5.925795454545","0.523337925876165","0.570718496559779","2.24403840398897","0.360704297148255","0.603180135042427"
"27","27","13_K_3","2013","Kvichak","3","20.2356327433628","20.8755589970502","13.6511703539823","20.5236873156344","1.13677949852541","0.075525142601745","0.626178599355347","0.167089433386174","0.222316693568563","0.46853696250819"
"32","32","16_E_2","2016","Egegik","2","23.2929860795457","25.5220957386367","10.8745436553049","21.5185812499998","3.18357784090891","0.870839256597669","0.418705904826525","0.355780673151677","0.553768878099427","0.264365502145261"
"33","33","16_K_2","2016","Kvichak","2","23.9200067234855","17.1943527462123","14.9321413825765","23.8781142992425","3.76283418560582","0.291243486665621","0.722858386117924","0.530181472112155","0.442907273825428","0.348452512445547"
