"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"19",19,19,44827,"19_W_2",2168.8,1.348,6.367,6.367,"PHE",5.93685,5.20954801136381
"24",24,24,44828,"19_W_2",2169,1.258,6.865,6.865,"PHE",6.43485,5.61451704545406
"29",29,29,44829,"19_W_2",2169.2,1.205,6.833,6.833,"PHE",6.40285,5.48948607954522
"39",39,39,44831,"19_K_2",2170.7,1.533,7.205,7.205,"PHE",6.77485,5.67542414772754
"44",44,44,44832,"19_K_2",2171.3,1.435,6.847,6.847,"PHE",6.41685,5.2243931818178
"49",49,49,44833,"19_K_2",2172.1,1.384,6.528,6.528,"PHE",6.09785,4.81236221590896
"54",54,54,44834,"19_K_3",2174.2,1.593,6.813,6.813,"PHE",6.38285,5.00433125000012
"59",59,59,44835,"19_K_3",2175.3,1.431,6.451,6.451,"PHE",6.02085,4.54930028409128
"64",64,64,44836,"19_K_3",2176.7,1.396,6.013,6.013,"PHE",5.58285,4.01826931818244
"74",74,74,44838,"19_E_2",2183,1.379,6.856,6.856,"PHE",6.42585,4.67520738636386
"112",112,20,44846,"22_W_2",2171.7,1.497,5.418,5.418,"PHE",4.98785,4.61254090909092
"117",117,25,44847,"22_W_2",2171.9,1.452,6.65,6.65,"PHE",6.21985,5.84081619318182
"122",122,30,44848,"22_W_2",2170.7,1.411,4.701,4.701,"PHE",4.27085,3.88809147727272
"127",127,35,44849,"22_W_3",2173.8,2.229,5.108,5.108,"PHE",4.67785,4.29136676136362
"132",132,40,44850,"22_W_3",2175.1,2.054,5.268,5.268,"PHE",4.83785,4.44764204545452
"137",137,45,44851,"22_W_3",2176.5,1.93,4.25,4.25,"PHE",3.81985,3.42591732954542
"147",147,55,44856,"22_K_3",2208.1,1.727,5.103,5.103,"PHE",4.67285,4.26029374999994
"152",152,60,44857,"22_K_3",2216.2,1.593,3.626,3.626,"PHE",3.19585,2.77956903409084
"157",157,65,44858,"22_K_3",2215.2,1.573,6.076,6.076,"PHE",5.64585,5.22584431818174
"192",192,20,44868,"22_W_3",2172.6,2.362,4.617,4.617,"PHE",4.18685,4.03701818181818
"197",197,25,44869,"22_W_3",2172.3,2.215,5.269,5.269,"PHE",4.83885,4.66766136363632
"202",202,30,44870,"22_W_3",2172.6,1.98,5.032,5.032,"PHE",4.60185,4.40930454545458
"207",207,35,44871,"22_K_3",2172.3,1.804,4.323,4.323,"PHE",3.89285,3.67894772727272
"212",212,40,44872,"22_K_3",2172.8,1.722,4.205,4.205,"PHE",3.77485,3.53959090909087
"217",217,45,44873,"22_K_3",2172.8,1.577,3.139,3.139,"PHE",2.70885,2.45223409090912
"257",257,20,44890,"16_K_2",2169.2,1.381,4.312,4.312,"PHE",3.88185,4.0045863636361
"262",262,25,44891,"16_K_2",2168.6,1.263,4.237,4.237,"PHE",3.80685,3.9205008522725
"267",267,30,44892,"16_K_2",2169.6,1.232,3.689,3.689,"PHE",3.25885,3.36341534090885
"302",302,15,44912,"13_K_3",2171.7,1.771,2.07,2.07,"PHE",1.63985,1.59428539823045
"307",307,20,44913,"13_K_3",2170.5,1.606,1.682,1.682,"PHE",1.25185,1.15811283185875
"312",312,25,44914,"13_K_3",2171.7,1.492,1.23,1.23,"PHE",0.79985,0.657940265487041
"337",337,15,44930,"04_K_3",2171.3,2.01,5.348,5.348,"PHE",4.91785,4.99369565217339
"342",342,20,44931,"04_K_3",2171.3,1.832,3.196,3.196,"PHE",2.76585,2.74184387351774
"347",347,25,44932,"04_K_3",2170.7,1.655,3.558,3.558,"PHE",3.12785,3.00399209486118
"352",352,30,44933,"04_E_3",2170.7,1.347,3.367,3.367,"PHE",2.93685,2.71314031620554
"357",357,35,44934,"04_E_3",2170.5,1.224,2.86,2.86,"PHE",2.42985,2.10628853754898
"366",366,44,44940,"01_W_3",2172.3,1.598,7.11,7.11,"PHE",6.67985,5.75717786561237
"371",371,49,44941,"01_W_3",2175.5,1.62,7.87,7.87,"PHE",7.43985,6.41732608695672
"376",376,54,44942,"01_W_3",2176.7,1.608,8.818,8.818,"PHE",8.38785,7.26547430830016
