"","years","W.phe","E.phe","K.phe","W.glu","E.glu","K.glu","W.tp","E.tp","K.tp"
"1",1965,4.77683274726721,3.40230525509688,3.54275356043851,24.3258416559459,23.8979864013242,23.0119019768522,3.28739502955789,3.4214845816186,3.27608334510109
"2",1966,4.77031986294691,3.43788510065954,3.58156752709412,24.3114453966093,23.8958596056927,23.0288415614288,3.28627840420147,3.41614369759676,3.27298499069896
"3",1967,4.7638069786266,3.4734649462222,3.62038149374974,24.2970491372727,23.8937328100611,23.0457811460054,3.28516177884506,3.41080281357491,3.26988663629684
"4",1968,4.75729409430629,3.56728685822115,3.65919546040535,24.2826528779361,23.8913633264541,23.062720730582,3.28404515348864,3.39717797000466,3.26678828189471
"5",1969,4.75130791321456,3.6611087702201,3.70312932468992,24.2965266505831,23.8889938428471,23.0790299060881,3.28685817809752,3.38355312643441,3.26287543645866
"6",1970,4.74532173212283,3.75493068221905,3.74706318897448,24.31040042323,23.8866243592401,23.0953390815941,3.2896712027064,3.36992828286417,3.25896259102261
"7",1971,4.7393355510311,3.848752594218,3.79099705325905,24.324274195877,23.8842548756331,23.1116482571002,3.29248422731528,3.35630343929392,3.25504974558656
"8",1972,4.73262553556868,3.92953432075979,3.8364518754216,24.2683505657827,23.8820377842206,23.1282429834278,3.28551346037026,3.34454723278482,3.25096191331532
"9",1973,4.72591552010627,4.01031604730158,3.88190669758415,24.2124269356885,23.8798206928082,23.1448377097553,3.27854269342524,3.33279102627572,3.24687408104408
"10",1974,4.71920550464385,4.09109777384337,3.9273615197467,24.1565033055942,23.8776036013957,23.1614324360829,3.27157192648023,3.32103481976662,3.24278624877284
"11",1975,4.71260825361799,4.17615788044048,3.97384586772487,24.0726381187199,23.8751451483717,23.1785982080883,3.26062745964616,3.30863842321973,3.23863347597216
"12",1976,4.70601100259214,4.2612179870376,4.02033021570303,23.9887729318455,23.8726866953478,23.1957639800937,3.24968299281209,3.29624202667283,3.23448070317148
"13",1977,4.69941375156628,4.34627809363472,4.06681456368119,23.9049077449711,23.8702282423238,23.2129297520991,3.23873852597802,3.28384563012594,3.23032793037081
"14",1978,4.69278104722368,4.40278258809288,4.1120976136655,23.801080930176,23.8680802530048,23.2298662067436,3.22497165480911,3.27553791287705,3.22631283188075
"15",1979,4.68614834288109,4.45928708255104,4.1573806636498,23.6972541153809,23.8659322636858,23.2468026613881,3.2112047836402,3.26723019562816,3.2222977333907
