"","X","Year","System","Age","Sample.ID","PHE.mean","GLU.mean","PHE.sd","GLU.sd","Trophic.Position","TP.Average.Method","TP.GAM.Method"
"1",1,2001,"Egegik",2,"01_E_2",5.3952424242404,24.4008041802094,0.710890465306798,0.0557807278868011,3.21041951217691,3.30613738391436,3.29364860917762
"2",4,2001,"Kvichak",2,"01_K_2",6.35491897233201,22.9326816282584,0.969320825057781,0.52670167981896,2.8665386198196,3.41244339356001,3.08569923921289
"3",5,2001,"Kvichak",3,"01_K_3",6.28936969696833,23.8290465944346,0.422905683693658,0.467924297696817,3.0027870959584,3.49943542802027,3.21266311544181
"4",6,2001,"Wood",2,"01_W_2",3.13708664702973,23.1666384922877,0.799023331921761,0.469932576580255,3.35546060131133,3.48187178718143,3.11883760522271
"5",7,2001,"Wood",3,"01_W_3",6.47999275362308,23.5718248550178,0.756098454627084,0.295212922896779,2.93935298886611,3.51418859411915,3.17622944130346
"6",10,2004,"Egegik",3,"04_E_3",2.40971442687726,23.1435208461452,0.429109007863171,0.160793544166032,3.45521337383399,3.42133713124834,3.13081295187633
"7",11,2004,"Kvichak",2,"04_K_2",8.71451515151441,24.4275019294603,0.209901047049231,0.213208159346897,2.74404911868922,3.37113616113456,3.31267996084447
"8",12,2004,"Kvichak",3,"04_K_3",3.57984387351744,25.6864767122542,1.23142724571728,0.237681255166266,3.64966470803637,3.32086352582382,3.49100500090027
"9",13,2004,"Wood",2,"04_W_2",3.38889696969445,23.8157810166288,0.303206378906117,0.253455948616316,3.4117399499907,3.33375886389776,3.22603393919695
"10",14,2004,"Wood",3,"04_W_3",7.01444365530275,24.4329806475567,0.741940347079948,0.392175398489418,2.98562846915778,3.48944640465473,3.31345598323773
"11",15,2007,"Egegik",2,"07_E_2",6.31811950757527,22.5696337449709,0.59593228839099,0.636658788837667,2.8203277956651,3.21420277146299,3.0695989223805
"12",16,2007,"Egegik",3,"07_E_3",2.34677049582678,24.2084575518135,0.23857181677546,0.345932787316525,3.61496983795846,3.36013374502608,3.30172694034687
"13",17,2007,"Kvichak",2,"07_K_2",6.00813707386313,23.2971250017799,3.32523090772539,0.918186191896939,2.96727874333099,3.63951340329867,3.17264300974721
"14",18,2007,"Wood",2,"07_W_2",3.32614412878767,23.4292523626934,0.514291948515501,0.409213881542651,3.36587935324444,3.44151305915598,3.19135793338935
"15",19,2010,"Egegik",2,"10_E_2",4.10489725378729,24.9974521553866,0.317718359397104,0.230635035498543,3.47769899456081,3.47909445871242,3.43565180764051
"16",20,2010,"Egegik",3,"10_E_3",2.21999053030254,25.3612008191497,0.305462417138901,0.377611477030765,3.79620542334946,3.15453271787279,3.48717428126134
"17",21,2010,"Kvichak",2,"10_K_2",3.28450378787789,24.0723752984208,0.932519521344276,0.400012241886804,3.46287131877378,3.27304926009987,3.3046210913564
"18",24,2013,"Egegik",2,"13_E_2",1.5790836174222,21.8195373086471,0.554908588375713,0.347540284005155,3.38533338402619,3.33505541609452,3.00767641501654
"19",25,2013,"Egegik",3,"13_E_3",3.35174810605876,22.8819381165533,1.13339876925406,0.3483512478057,3.28472946324285,3.34887597201354,3.15815811585311
"20",26,2013,"Kvichak",2,"13_K_2",5.925795454545,21.2529102898335,0.603180135042427,0.27372412030381,2.68939303615984,3.4467253778415,2.92741763048204
"21",27,2013,"Kvichak",3,"13_K_3",1.13677949852541,22.7382120406828,0.46853696250819,0.29560882034915,3.57810659237357,3.23983518090344,3.13780031473831
"22",32,2016,"Egegik",2,"16_E_2",3.18357784090891,24.6890787198297,0.264365502145261,0.529624849040024,3.56451853809076,3.44922137166763,3.43556384973784
"23",33,2016,"Kvichak",2,"16_K_2",3.76283418560582,25.721611274852,0.348452512445547,0.389425144185985,3.62872196731532,3.09823351773864,3.58181491985431
"24",34,2016,"Wood",2,"16_W_2",3.81553664772656,24.926115359834,1.39217919100183,0.449401627356482,3.50858055412287,3.50372077899116,3.46913844463929
"25",35,2016,"Wood",3,"16_W_3",5.01115823863612,24.2769375000172,0.161215659224321,0.0938710186850049,3.24727751577636,3.25746524288034,3.37718690642162
"26",36,2019,"Egegik",2,"19_E_2",4.67520738636386,23.893176319338,NA,0.337665576257931,3.24050551458557,3.04951587291561,3.34386164623393
"27",37,2019,"Kvichak",2,"19_K_2",5.2373931818181,25.4886477790198,0.431677801767256,0.497862671219857,3.38686325739401,3.17647974914453,3.56984910511238
