"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"16",46893,"22_K_2",1275.3,15.525,24.1,24.1,"ALA",23.66985,23.7538500000002
"17",46893,"22_K_2",1397.4,5.425,21.468,21.468,"VAL",21.03785,22.6892863636362
"18",46893,"22_K_2",1525.3,5.712,14.042,14.042,"NOR",13.61185,13.3289045454555
"19",46893,"22_K_2",2065.8,11.654,23.601,23.601,"GLU",23.17085,23.2294272727265
"20",46893,"22_K_2",2172.1,2.395,5.192,5.192,"PHE",4.76185,4.78707727272562
"21",46894,"22_K_2",1275.3,15.023,23.894,23.894,"ALA",23.46385,23.5529343750001
"22",46894,"22_K_2",1397.2,5.261,22.101,22.101,"VAL",21.67085,23.3258071022726
"23",46894,"22_K_2",1525.3,5.497,14.043,14.043,"NOR",13.61285,13.3689184659102
"24",46894,"22_K_2",2065.1,11.086,23.434,23.434,"GLU",23.00385,23.0425107954538
"25",46894,"22_K_2",2171.9,2.362,6.203,6.203,"PHE",5.77285,5.74348267045305
"26",46895,"22_K_2",1275.3,14.833,23.719,23.719,"ALA",23.28885,23.3830187500001
"27",46895,"22_K_2",1397.2,4.83,20.955,20.955,"VAL",20.52485,22.183327840909
"28",46895,"22_K_2",1525.3,5.36,13.584,13.584,"NOR",13.15385,12.9489323863646
"29",46895,"22_K_2",2065.3,10.802,23.379,23.379,"GLU",22.94885,22.9675943181811
"30",46895,"22_K_2",2172.1,2.295,4.582,4.582,"PHE",4.15185,4.06788806818047
"31",46896,"22_E_2",1278.9,22.585,21.408,21.408,"ALA",20.97785,21.0771031250001
"32",46896,"22_E_2",1398.4,5.936,19.996,19.996,"VAL",19.56585,21.2278485795454
"33",46896,"22_E_2",1525.5,5.306,12.987,12.987,"NOR",12.55685,12.390946306819
"34",46896,"22_E_2",2062.6,9.726,22.052,22.052,"GLU",21.62185,21.6206778409085
"35",46896,"22_E_2",2171.7,2.448,1.918,1.918,"PHE",1.48785,1.3492934659079
"36",46897,"22_E_2",1278.7,21.113,21.271,21.271,"ALA",20.84085,20.9451875000001
"37",46897,"22_E_2",1398.2,5.737,18.599,18.599,"VAL",18.16885,19.8343693181818
"38",46897,"22_E_2",1525.7,5.055,13.705,13.705,"NOR",13.27485,13.1479602272736
"39",46897,"22_E_2",2063,9.647,22.636,22.636,"GLU",22.20585,22.1847613636358
"40",46897,"22_E_2",2172.3,2.408,3.333,3.333,"PHE",2.90285,2.70969886363533
"41",46898,"22_E_2",1278.5,20.325,21.426,21.426,"ALA",20.99585,21.1052718750001
"42",46898,"22_E_2",1398,5.946,17.565,17.565,"VAL",17.13485,18.8038900568182
"43",46898,"22_E_2",1525.5,6.771,14.604,14.604,"NOR",14.17385,14.085974147728
"44",46898,"22_E_2",2062.2,9.208,22.739,22.739,"GLU",22.30885,22.2678448863632
"45",46898,"22_E_2",2171.9,2.262,3.174,3.174,"PHE",2.74385,2.4961042613623
"51",46900,"22_E_3",1275.5,13.524,21.916,21.916,"ALA",21.48585,21.6054406250001
"52",46900,"22_E_3",1397.8,8.281,18.993,18.993,"VAL",18.56285,20.238931534091
"53",46900,"22_E_3",1528.4,8.043,13.45,13.45,"NOR",13.01985,13.0100019886371
"54",46900,"22_E_3",2067,9.809,20.572,20.572,"GLU",20.14185,20.0610119318177
"55",46900,"22_E_3",2175.7,3.333,2.859,2.859,"PHE",2.42885,2.07191505681716
"56",46901,"22_E_3",1275.3,11.515,21.741,21.741,"ALA",21.31085,21.4355250000001
"57",46901,"22_E_3",1397.6,8.145,17.454,17.454,"VAL",17.02385,18.7034522727274
"58",46901,"22_E_3",1528.2,9.814,14.77,14.77,"NOR",14.33985,14.3690159090915
"59",46901,"22_E_3",2066.4,8.705,20.581,20.581,"GLU",20.15085,20.0500954545451
"60",46901,"22_E_3",2175.7,2.852,1.738,1.738,"PHE",1.30785,0.896320454544582
"61",46903,"16_W_2",1279.1,13.233,23.693,23.693,"ALA",23.26285,23.3976937500001
"62",46903,"16_W_2",1401.1,9.349,15.182,15.182,"VAL",14.75185,16.4384937500002
"63",46903,"16_W_2",1527.8,3.491,15.589,15.589,"NOR",15.15885,15.2660437500005
"64",46903,"16_W_2",2072.9,11.546,23.772,23.772,"GLU",23.34185,23.2012624999997
"65",46903,"16_W_2",2176.5,2.192,3.47,3.47,"PHE",3.03985,2.51913124999944
"66",46904,"16_W_2",1279.3,12.631,23.986,23.986,"ALA",23.55585,23.6957781250001
"67",46904,"16_W_2",1401.1,10.177,14.407,14.407,"VAL",13.97685,15.6670144886365
"68",46904,"16_W_2",1527.8,3.515,16.084,16.084,"NOR",15.65385,15.8000576704549
"69",46904,"16_W_2",2072.9,10.504,24.61,24.61,"GLU",24.17985,24.0193460227271
"70",46904,"16_W_2",2176.9,1.936,4.646,4.646,"PHE",4.21585,3.64053664772641
"71",46905,"16_W_2",1280.3,11.483,24.187,24.187,"ALA",23.75685,23.9018625000001
"72",46905,"16_W_2",1402.2,8.535,15.142,15.142,"VAL",14.71185,16.4055352272729
"73",46905,"16_W_2",1529,3.415,17.131,17.131,"NOR",16.70085,16.8860715909093
"74",46905,"16_W_2",2075,9.805,24.252,24.252,"GLU",23.82185,23.6414295454544
"75",46905,"16_W_2",2178.4,1.843,6.347,6.347,"PHE",5.91685,5.28694204545384
"81",46907,"16_W_3",1286.6,11.438,23.464,23.464,"ALA",23.03385,23.1890312500001
"82",46907,"16_W_3",1409.1,8.845,15.382,15.382,"VAL",14.95185,16.6525767045457
"83",46907,"16_W_3",1535.7,7.968,13.913,13.913,"NOR",13.48285,13.7460994318184
"84",46907,"16_W_3",2086.2,12.562,23.689,23.689,"GLU",23.25885,23.0385965909091
"85",46907,"16_W_3",2185.9,2.35,6.28,6.28,"PHE",5.84985,5.11075284090869
"86",46908,"16_W_3",1288.7,11.527,23.714,23.714,"ALA",23.28385,23.4441156250001
"87",46908,"16_W_3",1411.2,7.551,15.572,15.572,"VAL",15.14185,16.8460974431821
"88",46908,"16_W_3",1538.2,7.16,13.71,13.71,"NOR",13.27985,13.5821133522728
"89",46908,"16_W_3",2089.6,11.169,23.63,23.63,"GLU",23.19985,22.9596801136365
"90",46908,"16_W_3",2188.9,2.088,6.049,6.049,"PHE",5.61885,4.82515823863612
"91",46909,"16_W_3",1292.2,10.927,23.725,23.725,"ALA",23.29485,23.4602000000001
"92",46909,"16_W_3",1414.7,5.634,14.616,14.616,"VAL",14.18585,15.8936181818185
"93",46909,"16_W_3",1541.8,5.75,11.406,11.406,"NOR",10.97585,11.3171272727274
"94",46909,"16_W_3",2094.8,11.172,23.811,23.811,"GLU",23.38085,23.1207636363638
"95",46909,"16_W_3",2193.5,2.08,6.376,6.376,"PHE",5.94585,5.09756363636354
