"","Analysis","ID1","Year","System","Age","RT","AreaAll","d29N","d15N","AAID","adj"
"16",46557,"10_W_2_R","2010","Wood","2",1274.9,13.554,23.777,23.777,"ALA",23.4060000000001
"17",46557,"10_W_2_R","2010","Wood","2",1396.7,5.711,20.863,20.863,"VAL",21.9827090909092
"18",46557,"10_W_2_R","2010","Wood","2",1524.7,5.735,13.807,13.807,"NOR",13.1913863636359
"19",46557,"10_W_2_R","2010","Wood","2",2064.3,9.926,24.217,24.217,"GLU",24.0250545454552
"20",46557,"10_W_2_R","2010","Wood","2",2172.3,2.508,4.587,4.587,"PHE",4.49416818181899
"21",46558,"10_W_2_R","2010","Wood","2",1274.3,12.939,23.466,23.466,"ALA",23.0925000000001
"22",46558,"10_W_2_R","2010","Wood","2",1396.3,5.793,20.8,20.8,"VAL",21.9153556818183
"23",46558,"10_W_2_R","2010","Wood","2",1524.2,5.456,13.822,13.822,"NOR",13.2359133522724
"24",46558,"10_W_2_R","2010","Wood","2",2063.9,9.61,23.902,23.902,"GLU",23.6460465909101
"25",46558,"10_W_2_R","2010","Wood","2",2171.9,2.407,5.363,5.363,"PHE",5.19691448863713
"26",46559,"10_W_2_R","2010","Wood","2",1274.9,12.518,22.834,22.834,"ALA",22.4580000000001
"27",46559,"10_W_2_R","2010","Wood","2",1396.7,5.86,19.961,19.961,"VAL",21.0720022727273
"28",46559,"10_W_2_R","2010","Wood","2",1524.9,5.288,13.175,13.175,"NOR",12.6184403409086
"29",46559,"10_W_2_R","2010","Wood","2",2064.3,9.253,23.292,23.292,"GLU",22.9720386363646
"30",46559,"10_W_2_R","2010","Wood","2",2172.6,2.347,3.89,3.89,"PHE",3.65066079545526
"31",46560,"04_E_2_R","2004","Egegik","2",1279.5,20.267,22.92,22.92,"ALA",22.5415
"32",46560,"04_E_2_R","2004","Egegik","2",1400.9,8.802,19.379,19.379,"VAL",20.4856488636364
"33",46560,"04_E_2_R","2004","Egegik","2",1525.7,5.657,12.652,12.652,"NOR",12.1249673295451
"34",46560,"04_E_2_R","2004","Egegik","2",2072.2,14.437,23.294,23.294,"GLU",22.910030681819
"35",46560,"04_E_2_R","2004","Egegik","2",2175.3,3.302,4.536,4.536,"PHE",4.22340710227339
"36",46561,"04_E_2_R","2004","Egegik","2",1278.9,19.411,23.383,23.383,"ALA",23.002
"37",46561,"04_E_2_R","2004","Egegik","2",1400.3,7.625,16.353,16.353,"VAL",17.4552954545455
"38",46561,"04_E_2_R","2004","Egegik","2",1525.3,3.189,9.676,9.676,"NOR",9.17849431818155
"39",46561,"04_E_2_R","2004","Egegik","2",2072,13.735,23.498,23.498,"GLU",23.0500227272734
"40",46561,"04_E_2_R","2004","Egegik","2",2175.1,2.942,3.982,3.982,"PHE",3.59615340909152
"41",46562,"04_E_2_R","2004","Egegik","2",1279.1,17.946,23.454,23.454,"ALA",23.0705
"42",46562,"04_E_2_R","2004","Egegik","2",1400.3,11.326,16.502,16.502,"VAL",17.5999420454546
"43",46562,"04_E_2_R","2004","Egegik","2",1525.7,4.257,13.988,13.988,"NOR",13.5200213068178
"44",46562,"04_E_2_R","2004","Egegik","2",2072.2,12.758,23.623,23.623,"GLU",23.1110147727279
"45",46562,"04_E_2_R","2004","Egegik","2",2175.5,2.625,3.925,3.925,"PHE",3.46589971590965
"51",46564,"22_K_3_R","2022","Kvichak","3",1273.4,9.2,22.51,22.51,"ALA",22.1215
"52",46564,"22_K_3_R","2022","Kvichak","3",1395.1,8.762,12.957,12.957,"VAL",14.0462352272728
"53",46564,"22_K_3_R","2022","Kvichak","3",1523.8,7.114,13.469,13.469,"NOR",13.0600752840905
"54",46564,"22_K_3_R","2022","Kvichak","3",2063.7,7.878,23.622,23.622,"GLU",22.9819988636372
"55",46564,"22_K_3_R","2022","Kvichak","3",2171.3,1.549,3.47,3.47,"PHE",2.86439232954591
"56",46565,"22_K_3_R","2022","Kvichak","3",1274.1,8.98,23.603,23.603,"ALA",23.212
"57",46565,"22_K_3_R","2022","Kvichak","3",1395.7,8.508,13.527,13.527,"VAL",14.6118818181818
"58",46565,"22_K_3_R","2022","Kvichak","3",1524.7,7.089,14.154,14.154,"NOR",13.7746022727269
"59",46565,"22_K_3_R","2022","Kvichak","3",2064.1,7.676,23.783,23.783,"GLU",23.0789909090917
"60",46565,"22_K_3_R","2022","Kvichak","3",2171.9,1.55,4.608,4.608,"PHE",3.92913863636405
"61",46566,"22_K_3_R","2022","Kvichak","3",1274.1,8.772,23.283,23.283,"ALA",22.8895
"62",46566,"22_K_3_R","2022","Kvichak","3",1395.5,7.153,13.929,13.929,"VAL",15.0095284090909
"63",46566,"22_K_3_R","2022","Kvichak","3",1524.4,6.978,14.13,14.13,"NOR",13.7801292613634
"64",46566,"22_K_3_R","2022","Kvichak","3",2063.9,7.367,23.627,23.627,"GLU",22.8589829545461
"65",46566,"22_K_3_R","2022","Kvichak","3",2171.7,1.524,5.025,5.025,"PHE",4.27288494318218
"71",46571,"86_W_3","1986","Wood","3",1273.4,7.758,22.209,22.209,"ALA",21.803
"72",46571,"86_W_3","1986","Wood","3",1395.1,5.463,14.642,14.642,"VAL",15.7007613636363
"73",46571,"86_W_3","1986","Wood","3",1523.8,4.478,17.684,17.684,"NOR",17.4817642045453
"74",46571,"86_W_3","1986","Wood","3",2064.5,7.008,22.361,22.361,"GLU",21.2729431818188
"75",46571,"86_W_3","1986","Wood","3",2173.4,1.763,7.59,7.59,"PHE",6.47161647727329
"76",46572,"86_W_3","1986","Wood","3",1272.2,7.799,22.232,22.232,"ALA",21.8235
"77",46572,"86_W_3","1986","Wood","3",1394,6.131,16.902,16.902,"VAL",17.9564079545455
"78",46572,"86_W_3","1986","Wood","3",1523,6.48,16.236,16.236,"NOR",16.0632911931815
"79",46572,"86_W_3","1986","Wood","3",2063,6.977,22.794,22.794,"GLU",21.6419352272732
"80",46572,"86_W_3","1986","Wood","3",2172.1,1.762,7.634,7.634,"PHE",6.44236278409142
"81",46573,"86_W_3","1986","Wood","3",1272.6,7.852,22.552,22.552,"ALA",22.141
"82",46573,"86_W_3","1986","Wood","3",1369.2,1.385,14.36,14.36,"VAL",15.4100545454545
"83",46573,"86_W_3","1986","Wood","3",1523.4,4.39,18.373,18.373,"NOR",18.229818181818
"84",46573,"86_W_3","1986","Wood","3",2063.2,6.329,22.116,22.116,"GLU",20.8999272727281
"85",46573,"86_W_3","1986","Wood","3",2172.6,1.622,7.644,7.644,"PHE",6.37910909090955
