"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"16",46580,"77_E_3",1274.1,16.929,22.477,22.477,"ALA",21.2478590909099
"17",46580,"77_E_3",1395.7,6.859,24.112,24.112,"VAL",24.5649272727276
"18",46580,"77_E_3",1525.1,7.817,13.047,13.047,"NOR",11.9638954545452
"19",46580,"77_E_3",2062,9.775,22.82,22.82,"GLU",21.9771818181826
"20",46580,"77_E_3",2172.6,3.352,2.073,2.073,"PHE",1.35587727272882
"21",46581,"77_E_3",1273.6,14.876,22.066,22.066,"ALA",20.804421306819
"22",46581,"77_E_3",1395.1,6.979,22.929,22.929,"VAL",23.347729545455
"23",46581,"77_E_3",1524.7,6.939,12.554,12.554,"NOR",11.4901190340907
"24",46581,"77_E_3",2060.7,8.792,22.834,22.834,"GLU",21.9416136363647
"25",46581,"77_E_3",2172.1,3.005,2.343,2.343,"PHE",1.53545767045677
"26",46582,"77_E_3",1273,14.336,22.405,22.405,"ALA",21.1109835227281
"27",46582,"77_E_3",1394.7,6.158,23.222,23.222,"VAL",23.6065318181822
"28",46582,"77_E_3",1524.2,6.629,13.292,13.292,"NOR",12.2473426136362
"29",46582,"77_E_3",2059.9,8.491,23.193,23.193,"GLU",22.2510454545464
"30",46582,"77_E_3",2171.7,2.824,2.243,2.243,"PHE",1.34503806818381
"31",46583,"71_W_2",1268.4,5.686,21.826,21.826,"ALA",20.4995457386372
"32",46583,"71_W_2",1391.7,3.287,23.806,23.806,"VAL",24.1563340909096
"33",46583,"71_W_2",1521.1,3.705,14.136,14.136,"NOR",13.1105661931815
"34",46583,"71_W_2",2045.5,2.148,23.068,23.068,"GLU",22.076477272728
"35",46583,"71_W_2",2169.6,2.134,8.015,8.015,"PHE",7.02661846591085
"36",46584,"71_W_2",1268.2,4.776,21.57,21.57,"ALA",20.2111079545463
"37",46584,"71_W_2",1391.7,2.725,23.791,23.791,"VAL",24.1071363636367
"38",46584,"71_W_2",1521.1,3.116,14.295,14.295,"NOR",13.288789772727
"39",46584,"71_W_2",2044.6,1.817,22.57,22.57,"GLU",21.5289090909101
