"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",46457,"5AA",1279.1,30.496,-0.523,-0.523,"ALA",-0.95315,-1.55499772727256
"2",46457,"5AA",1399.5,19.087,-0.623,-0.623,"VAL",-1.05315,-0.740057670454316
"3",46457,"5AA",1537.2,33.805,14.667,14.667,"NOR",14.23685,14.2569599431832
"4",46457,"5AA",2074.3,18.215,-3.177,-3.177,"GLU",-3.60715,-3.09954943181882
"5",46457,"5AA",2188.6,16.967,-4.922,-4.922,"PHE",-5.35215,-5.1310468750011
"6",46458,"5AA",1281.2,28.686,-0.9,-0.9,"ALA",-1.33015,-1.91618636363624
"7",46458,"5AA",1401.8,17.907,-0.741,-0.741,"VAL",-1.17115,-0.847646022727106
"8",46458,"5AA",1539.7,32.529,14.587,14.587,"NOR",14.15685,14.2496596590923
"9",46458,"5AA",2076.2,17.645,-3.084,-3.084,"GLU",-3.51415,-3.05569659090963
"10",46458,"5AA",2190.5,16.306,-4.959,-4.959,"PHE",-5.38915,-5.23178125000107
"11",46459,"5AA",1281.2,27.499,-1.063,-1.063,"ALA",-1.49315,-2.06337499999981
"12",46459,"5AA",1401.8,16.976,-0.924,-0.924,"VAL",-1.35415,-1.02023437499984
"13",46459,"5AA",1539.5,30.894,14.527,14.527,"NOR",14.09685,14.2623593750013
"14",46459,"5AA",2076,17.395,-3.422,-3.422,"GLU",-3.85215,-3.44284375000044
"15",46459,"5AA",2190.3,15.914,-4.961,-4.961,"PHE",-5.39115,-5.29751562500104
"16",46460,"89_W_2",1280.5,21.622,23.884,23.884,"ALA",23.45385,22.8994363636365
"17",46460,"89_W_2",1400.9,8.001,19.859,19.859,"VAL",19.42885,19.7731772727274
"18",46460,"89_W_2",1525.9,5.375,13.553,13.553,"NOR",13.12285,13.3610590909103
"19",46460,"89_W_2",2069.1,11.767,22.606,22.606,"GLU",22.17585,22.5360090909083
"20",46460,"89_W_2",2175.3,3.019,3.63,3.63,"PHE",3.19985,3.22974999999899
"21",46461,"89_W_2",1280.5,20.174,23.415,23.415,"ALA",22.98485,22.4462477272729
"22",46461,"89_W_2",1401.3,8.364,18.732,18.732,"VAL",18.30185,18.6565889204547
"23",46461,"89_W_2",1526.3,7.223,13.45,13.45,"NOR",13.01985,13.3307588068194
"24",46461,"89_W_2",2070.1,11.908,22.597,22.597,"GLU",22.16685,22.4778619318175
"25",46461,"89_W_2",2175.1,2.764,4.646,4.646,"PHE",4.21585,4.18201562499903
"26",46462,"89_W_2",1281,18.801,23.547,23.547,"ALA",23.11685,22.5940590909093
"27",46462,"89_W_2",1401.6,9.542,17.162,17.162,"VAL",16.73185,17.097000568182
"28",46462,"89_W_2",1526.5,4.481,13.521,13.521,"NOR",13.09085,13.4744585227284
"29",46462,"89_W_2",2069.1,10.676,23.104,23.104,"GLU",22.67385,22.9357147727267
"30",46462,"89_W_2",2175.1,2.29,3.298,3.298,"PHE",2.86785,2.77028124999906
