district, date, card, age, position
kvichak, 19650709, 60, 2, 1
kvichak, 19650709, 60, 2, 2
kvichak, 19650709, 60, 2, 3
kvichak, 19650709, 60, 2, 4
kvichak, 19650709, 60, 2, 5
kvichak, 19650709, 60, 2, 6
kvichak, 19650709, 60, 2, 7
kvichak, 19650709, 60, 2, 8
kvichak, 19650709, 60, 2, 9
kvichak, 19650709, 60, 2, 10
kvichak, 19650709, 60, 2, 11
kvichak, 19650709, 60, 2, 12
kvichak, 19650709, 60, 2, 13
kvichak, 19650709, 60, 2, 14
kvichak, 19650709, 60, 2, 15
kvichak, 19650709, 60, 2, 18
kvichak, 19650709, 60, 2, 19
kvichak, 19650709, 60, 2, 20
kvichak, 19650709, 60, 2, 21
kvichak, 19650709, 60, 2, 22
kvichak, 19650709, 60, 2, 23
kvichak, 19650709, 60, 2, 24
kvichak, 19650709, 60, 2, 25
kvichak, 19650709, 60, 2, 26
kvichak, 19650709, 60, 2, 28
kvichak, 19650709, 60, 2, 29
kvichak, 19650709, 61, 2, 1
kvichak, 19650709, 61, 2, 2
kvichak, 19650709, 61, 2, 3
kvichak, 19650709, 61, 2, 4
kvichak, 19650709, 60, 3, 16
kvichak, 19650709, 60, 3, 17
