district, date, card, age, position
egegik, 19890706, 57, 2, 2
egegik, 19890706, 57, 2, 3
egegik, 19890706, 57, 2, 4
egegik, 19890706, 57, 2, 6
egegik, 19890706, 57, 2, 8
egegik, 19890706, 57, 2, 9
egegik, 19890706, 57, 2, 10
egegik, 19890706, 57, 2, 11
egegik, 19890706, 57, 2, 12
egegik, 19890706, 57, 2, 13
egegik, 19890706, 57, 2, 14
egegik, 19890706, 57, 2, 15
egegik, 19890706, 57, 2, 19
egegik, 19890706, 57, 2, 21
egegik, 19890706, 57, 2, 23
egegik, 19890706, 57, 2, 24
egegik, 19890706, 57, 2, 25
egegik, 19890706, 57, 2, 27
egegik, 19890706, 57, 2, 28
egegik, 19890706, 57, 2, 29
egegik, 19890706, 57, 2, 30
egegik, 19890706, 57, 2, 31
egegik, 19890706, 57, 2, 33
egegik, 19890706, 57, 2, 34
egegik, 19890706, 57, 2, 35
egegik, 19890706, 57, 2, 36
egegik, 19890706, 57, 2, 37
egegik, 19890706, 57, 2, 38
egegik, 19890706, 58, 2, 3
egegik, 19890706, 58, 2, 4
egegik, 19890706, 57, 3, 1
egegik, 19890706, 57, 3, 5
egegik, 19890706, 57, 3, 7
egegik, 19890706, 57, 3, 16
egegik, 19890706, 57, 3, 17
egegik, 19890706, 57, 3, 18
egegik, 19890706, 57, 3, 20
egegik, 19890706, 57, 3, 22
egegik, 19890706, 57, 3, 32
egegik, 19890706, 57, 3, 40
egegik, 19890706, 58, 3, 1
egegik, 19890706, 58, 3, 7
egegik, 19890706, 58, 3, 11
egegik, 19890706, 58, 3, 14
egegik, 19890706, 58, 3, 16
egegik, 19890706, 58, 3, 17
egegik, 19890706, 58, 3, 23
egegik, 19890706, 58, 3, 24
egegik, 19890706, 58, 3, 26
egegik, 19890706, 58, 3, 30
egegik, 19890706, 58, 3, 32
egegik, 19890706, 58, 3, 34
egegik, 19890706, 58, 3, 39
egegik, 19890706, 58, 3, 40
