district, date, card, age, position
wood, 19890706, 37, 2, 4
wood, 19890706, 37, 2, 5
wood, 19890706, 37, 2, 6
wood, 19890706, 37, 2, 8
wood, 19890706, 37, 2, 9
wood, 19890706, 37, 2, 14
wood, 19890706, 37, 2, 17
wood, 19890706, 37, 2, 18
wood, 19890706, 37, 2, 19
wood, 19890706, 37, 2, 20
wood, 19890706, 37, 2, 22
wood, 19890706, 37, 2, 25
wood, 19890706, 37, 2, 26
wood, 19890706, 37, 2, 27
wood, 19890706, 37, 2, 28
wood, 19890706, 37, 2, 29
wood, 19890706, 37, 2, 30
wood, 19890706, 37, 2, 31
wood, 19890706, 37, 2, 33
wood, 19890706, 37, 2, 34
wood, 19890706, 37, 2, 35
wood, 19890706, 37, 2, 36
wood, 19890706, 37, 2, 37
wood, 19890706, 37, 2, 38
wood, 19890706, 37, 2, 39
wood, 19890706, 38, 2, 3
wood, 19890706, 38, 2, 4
wood, 19890706, 38, 2, 6
wood, 19890706, 38, 2, 7
wood, 19890706, 38, 2, 12
wood, 19890706, 37, 3, 1
wood, 19890706, 37, 3, 2
wood, 19890706, 37, 3, 7
wood, 19890706, 37, 3, 10
wood, 19890706, 37, 3, 23
wood, 19890706, 37, 3, 24
wood, 19890706, 37, 3, 32
wood, 19890706, 37, 3, 40
wood, 19890706, 38, 3, 5
wood, 19890706, 38, 3, 8
wood, 19890706, 38, 3, 10
wood, 19890706, 38, 3, 11
wood, 19890706, 38, 3, 19
wood, 19890706, 38, 3, 26
wood, 19890706, 38, 3, 27
wood, 19890706, 38, 3, 30
wood, 19890706, 38, 3, 33
wood, 19890706, 38, 3, 38
wood, 19890706, 38, 3, 39
